name,design_phase,x,y,z,max_error_pct,rms_error_pct,hd0,hd1,a0,a1
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.6349323511301241,0.3107029025795333,2.7221270133841102,-0.6706531323923083,0.2597895490227034,0.24170038036459154
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.5522971367796781,0.31969878790514994,2.68387937922205,-0.6624084198630177,0.26119696844588786,0.2418073034209355
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.5133293227376212,0.29329193808472653,2.683751036345449,-0.6622089245562667,0.26106301770707735,0.2417461759723027
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.6419078538218104,0.38223571664765693,2.68425649883586,-0.6628488431670239,0.26149593644542957,0.24193594107553942
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.6865423518072511,0.4133389659790986,2.6845544294914383,-0.6630966687541104,0.26164518445265506,0.24200058853529074
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.9887723277620664,0.5721500391134489,2.6518960647150305,-0.6588600630459752,0.26312468590619265,0.24322656513304103
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.7535751039644323,0.3604850426108365,2.708486736191266,-0.6701997554151234,0.26055737226145076,0.2427098133382652
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.3976186865928488,0.17331360123177833,2.6797525289679336,-0.6638701948399358,0.26152158593287406,0.2427560408427174
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.5265372836869009,0.24529645778560635,2.6804618301394827,-0.6645744622696258,0.26195968718031654,0.24295136069679008
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,1.7939430213456786,0.9520989655819811,2.6594625492916206,-0.6557950128931183,0.2623950337909652,0.2413180107417864
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.34186348512763587,0.1862506781892208,2.716870934699313,-0.6669429887524856,0.25973399974812855,0.24070880205878387
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.8643701978673146,0.4927608318997783,2.68787835348823,-0.6607625325602091,0.2607512308376255,0.24080717489372472
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.9995645412479437,0.5809653398899582,2.688292403506704,-0.6613675830805043,0.2611785351734943,0.24099210642233496
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,1.3136372132608098,0.7135785129042375,2.6553676108562683,-0.6570128078439715,0.262542229469845,0.24218334274944966
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,1.4545429390315556,0.8011738255512234,2.6559394060590793,-0.6576180480316675,0.26296535613578,0.2423534050728009
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.41330412912625736,0.21297658983117765,2.71226830491482,-0.6681771990263248,0.2599174752200537,0.24159902897774127
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.3270878881286077,0.19893086637191848,2.713035654848962,-0.6689343076523581,0.2603595529710254,0.24180866558962305
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,1.0125945584132712,0.5796646529326677,2.6458793155963365,-0.6577486121011789,0.2632088829906273,0.24333370659012202
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.37314430131033527,0.21492840575182987,2.7001758937245186,-0.668024820787741,0.26091735803375304,0.24258176473716478
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.5518029800860358,0.27323157591509684,2.7161879236520687,-0.6696346764447173,0.2599860908978744,0.2418203540331722
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.6438400422126733,0.3897041284401375,2.6904351876417705,-0.6618997328654255,0.2606895216978184,0.2410332606337666
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.6199221168844193,0.38849741326536885,2.7081572664427545,-0.6646704431826577,0.2602700669868478,0.24056281754573028
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,1.3939259485641564,0.764998180413785,2.665461383138524,-0.6581212030902721,0.2622903624013606,0.2417122009774373
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.7105255339593941,0.38937424945414395,2.6683228201454976,-0.6609128786993945,0.2620712568950565,0.24258775773156374
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.7366120674473287,0.45642097951898297,2.683777591911014,-0.6620998739293462,0.26146906532981207,0.24168052117548025
