name,design_phase,x,y,z,epsilon_med,exact_slope_ratio,six_param_max_error_pct,six_param_rms_error_pct,four_param_max_error_pct,four_param_rms_error_pct,a0_wall,a1_wall,hQ6,hu06,a06,a16,hd06,hd16,hQ4,hu04,hd04,hd14
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,0.047619047619047616,0.04723072048867888,0.13582773942470983,0.07035444308220351,4.881671590254344,2.244767518748785,0.2715624668793451,0.23327311789669386,2.881842332611155,3.0455313594315157,0.26483060782123113,0.24057830204245065,2.764045290490268,-0.6761733746778579,2.966023774508986,3.1563821381792336,2.8378709646388676,-0.6737422818396088
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,0.047619047619047616,0.04698134457166784,0.25604276136343973,0.13114375662636482,9.9183775619349,4.633522121109503,0.27704839261127945,0.2263202690263388,2.944449469779262,3.1128088899023005,0.26813284091743106,0.24005946076070495,2.8138089084576468,-0.6856721959987636,3.135180000040906,3.2553330180725917,2.9078429651838875,-0.6726466359329226
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,0.047619047619047616,0.0468419761759178,0.3770387806305564,0.18979170392741262,18.129378159178543,8.729356941851957,0.28548577229082694,0.21634444238626396,3.043129478387872,3.21816886215974,0.27442938756168067,0.24020143846765696,2.8901480678148506,-0.7025398540209952,3.3876822153795936,3.316673834897941,2.944056497855238,-0.6597633218161619
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,0.047619047619047616,0.04796289563269123,0.09420455018437357,0.04966590362476039,2.3597899557012747,1.2711493690580173,0.2635365830624751,0.24607039045517273,2.797090914792223,2.9457151997508313,0.2606909397382657,0.24200310155448554,2.6889677187558614,-0.6634161527307564,2.7382055768501092,2.927538567846552,2.669444904918486,-0.6671393620993339
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,0.047619047619047616,0.04797519183059835,0.09661491417264356,0.05098817383244365,3.2401874268325415,1.7218518655846982,0.2635365830624751,0.24748111341437534,2.800079121291686,2.9436447735178106,0.2604600038237322,0.2417906823319492,2.687178311734576,-0.6625867349723278,2.7218628148105224,2.9107603061267935,2.6557590568313953,-0.6671502222487484
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,0.047619047619047616,0.047992362714811346,0.09985057973701528,0.052782428733725864,4.565419457636621,2.4076294389072306,0.2635365830624751,0.24969796377883688,2.804211845877603,2.9405607319789886,0.2601320964152091,0.24148383721595068,2.684487927315757,-0.6613556995451856,2.6966501017218163,2.8843569505521662,2.634292707268957,-0.6671220455334839
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,0.047619047619047616,0.04795230394386892,0.09350269669692324,0.049166306213367324,0.400410671996565,0.22533684641248827,0.2635365830624751,0.2418382215775658,2.788509304822565,2.9512824130839523,0.26137952862125036,0.2426270183157924,2.6937343562189158,-0.6657586911872528,2.788860024951614,2.975868642711901,2.708833754866058,-0.6666081327947984
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,0.047619047619047616,0.04794930782141879,0.09350388928556219,0.04908314526968599,1.3682407388947881,0.6532913191406239,0.2635365830624751,0.2404274986183635,2.7856001295456334,2.9532931408516094,0.26162180190774975,0.24284351361457726,2.6954480713043254,-0.666582981306626,2.8061407160555287,2.991616670870132,2.7216963056961063,-0.6663267941943586
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,0.047619047619047616,0.0479542042095054,0.09587813778333398,0.050255249929504385,2.789427448851489,1.3498203143259695,0.2635365830624751,0.23841218010521714,2.7813151263971507,2.9559035710705817,0.26197863129414306,0.24315871241393988,2.6976464688351283,-0.6677204923416766,2.8308489541200474,3.01327265189412,2.7393650985617706,-0.665737126762923
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.047619047619047616,0.048090122498086495,0.13078927870360246,0.06879583766584134,0.4439450547904844,0.26974628475875567,0.26353658306247524,0.24334971046242584,2.7942670194156145,2.9505360003637313,0.26218510717856564,0.24268584273396063,2.6908590799398877,-0.6654097841404991,2.7810103999043077,2.9545442239563506,2.6914452148021826,-0.6665644781385024
