name,design_phase,x,y,z,max_error_pct,rms_error_pct,hQ,hd0,hd1,a0,a1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,1.0360841238449936,0.6236322074738279,2.9679758156686287,2.7626355145394137,-0.6788784078432553,0.25938765427812344,0.24066511432402934,-0.20880367371196584,-0.31400124670651897,1.0360841238449936,0.4384656874230064,0.600666917447823,-0.4681779297244004,-0.8570358008704315
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,1.6354960831495458,0.9852272943456134,3.0807640976417314,2.80517972897879,-0.6894837210177176,0.2592940242971009,0.24051675382022525,-0.31693320560572946,-0.5228393071891158,1.6354960831495458,0.6828774254846959,0.9600841084481893,-0.736037439307724,-1.347672263243549
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,0.10579300850740436,0.051632254389648975,2.797629665317777,2.687859666280858,-0.6633086240848953,0.26051332178271086,0.24203282356200523,-0.10579300850740436,0.030565545810534722,0.0033195876343539155,0.04069510536957033,-0.06574431944460501,0.012289703372547756,-0.01985827289661124
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,0.10630803385128784,0.052336798996589426,2.8005290323975442,2.686256620926438,-0.6624984195727883,0.26031263446740344,0.24181581569167426,-0.10630803385128784,0.03225437412262,-0.0011448254365942212,0.039386488950521326,-0.0692534801052469,0.014477813554236718,-0.016552439819206288
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,0.1071571858792919,0.05352066521793531,2.804548925929113,2.6837970296406954,-0.6612906740288335,0.2600222288430503,0.24150313890823324,-0.1071571858792919,0.034473397472378764,-0.0069166796067055,0.03774250643577837,-0.07386949982546298,0.01731795729622565,-0.012296410879597541
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,0.11087980903724537,0.05358852464681978,2.7893243419792593,2.6920466308624116,-0.6655897734854934,0.2611066014461661,0.24267039605562493,-0.11087980903724537,0.027886904380536315,0.015751571498889838,0.04681260992482894,-0.060256634627353645,0.007072277015374162,-0.03016101386291714
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,0.1130559718031332,0.05470122402564439,2.786520367684687,2.6935386301034026,-0.6663899173906542,0.26131184029717824,0.24289184740663203,-0.1130559718031332,0.026891200968148787,0.020584568400350278,0.04926922981074444,-0.058266572196019606,0.005073499230334733,-0.03418863301126729
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,0.11870990558721095,0.05768490595901008,2.782394340485647,2.695401490862072,-0.6674904003602212,0.2616125165568935,0.24321439002580342,-0.11870990558721095,0.02636348829332391,0.027203363402472647,0.053603526964374204,-0.05723097396146404,0.0026856766564220536,-0.04012237662295304
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.18980973013500435,0.10009497207781116,2.797034865490555,2.685137338110607,-0.6648413228753041,0.2612588444070538,0.2428352829247008,-0.18980973013500435,0.02597294625035218,0.09140265313531959,0.10332721907402309,-0.05845006819589216,-0.018975746971761076,-0.10306914091506858
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.27180093115042325,0.15567958045084326,2.8007502446783445,2.6804739455753714,-0.6652828537078285,0.26171395400426506,0.24332609215961873,-0.27180093115042325,0.02261020231950628,0.1739058273198868,0.1636004261133417,-0.05427141850765649,-0.047866724920941905,-0.181716836150414
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.07199128579166159,0.04748108868618262,2.7896291080009923,2.694661025727375,-0.6640284314411696,0.26036382894746163,0.24187170839378824,-0.025160513675481777,0.03178072794292053,-0.07199128579166159,-0.01604806713111362,-0.06667760625854724,0.037944625897323725,0.05302949050614014
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.15289496833734706,0.09248436654622001,2.7858508141003546,2.69943539538488,-0.663635596990503,0.25992380666828235,0.241398816930475,0.057500263754217684,0.03421427783480979,-0.15289496833734706,-0.07514453224540807,-0.07073078362833662,0.0659729418713173,0.13045215355651507
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,0.20517897386012063,0.1402496708435356,2.7605934247857387,2.6754705390598517,-0.6621302631828846,0.2612947395691504,0.2429203704164315,-0.09716119682204871,0.09747579901973058,-0.20415981008916617,-0.03653187373592326,-0.20517897386012063,0.11126509703796028,0.1457869083702379
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,0.42141578200645124,0.2664416954198585,2.7280501907043266,2.6608937983006724,-0.6599835344596213,0.2618547866350469,0.2435775004839389,-0.08841640479171353,0.1657043835015637,-0.42141578200645124,-0.11799239796189687,-0.35013881825759485,0.21500293591323327,0.31831731692839593
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.21925943110012724,0.1366160591679989,2.8271928380538314,2.704607223954371,-0.6669830450661834,0.2603883771893456,0.24185657277963052,-0.12129464441943405,-0.03915371246941968,0.21925943110012724,0.12270767023190299,0.07608174621283048,-0.08954244959952229,-0.19355639112675904
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.42665819055134335,0.25732804639203993,2.8614356042960356,2.719277959439376,-0.6697205956964152,0.26004107735294785,0.2414476504282044,-0.13753313157354174,-0.10773718877333804,0.42665819055134335,0.20139848149680617,0.21228517615792253,-0.18697320975636922,-0.3610801337620706
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.10724093148516411,0.05207608040255112,2.794864559903999,2.689192372095173,-0.6640454867894187,0.2607073479698663,0.2422409024427339,-0.10724093148516411,0.029703397490554728,0.007126706123816717,0.0425372262088386,-0.06401037654168995,0.010682351623381159,-0.022997203034968994
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.10578019232426739,0.051462067312701594,2.7961531295021254,2.6886179744060303,-0.6637050793898884,0.2606142042837018,0.24214191050089967,-0.10578019232426739,0.02979210541556032,0.0055886652066572395,0.04147944446992735,-0.06416422086930051,0.011216700814897784,-0.021604463940749774
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.10811515357539436,0.052300485767489704,2.7918829518027244,2.6906164529993797,-0.6648210368028972,0.26091063295141875,0.24246046212486283,-0.10811515357539436,0.02835575715471883,0.011787079883007756,0.04444483923644604,-0.061280682350728366,0.008594932650485276,-0.02666414072495238
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.1087854370473873,0.05259040897604139,2.7905193337098853,2.6914329044517076,-0.6652361713665873,0.2610126523804317,0.24257065380841777,-0.1087854370473873,0.02779356190043547,0.014135638943213458,0.04549806464368977,-0.060064902232448425,0.007560203290490897,-0.02861232406717873
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.27032686883594614,0.16876950321669765,2.7498051086369926,2.6612817111273976,-0.66164986001221,0.2622305633175153,0.24395249854660483,-0.21412885106997237,0.1285637456720723,-0.189879702894713,0.011426143072634787,-0.27032686883594614,0.1201714822174127,0.11532369869380332
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.44702979023494294,0.27960925270723175,2.849988963067646,2.7047256531312374,-0.668985956749406,0.26089319047987825,0.24238379554004638,-0.25441062535453973,-0.07965885053098365,0.44702979023494294,0.25361927943834406,0.14960494744460373,-0.18165835318569856,-0.39580206011705643
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.22980584427069184,0.126228239624042,2.801010965035952,2.681761016877491,-0.6644890960429858,0.26133618966365546,0.24291931060441654,-0.22980584427069184,0.02513774857422213,0.12931116387577823,0.13199686184937054,-0.058041198514913184,-0.03200026624525787,-0.13983919507756237
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.23220661056309044,0.12895866940290351,2.7969496347003546,2.683977063773693,-0.6656671074263463,0.26163592318996115,0.24324116510687838,-0.23220661056309044,0.02362286417048054,0.13591461039252906,0.13500710403104854,-0.05492361067965801,-0.03473954513114608,-0.1449526844709781
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,0.43372890884689763,0.2612529126946496,2.7387262234722027,2.6751010724647957,-0.6604329473070668,0.26090922335039346,0.2425336249140336,0.02903535372071886,0.13418156568245632,-0.43372890884689763,-0.16468349894149803,-0.2845210906271878,0.2050074954019765,0.34742207907612066
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.2004732211562832,0.12188051069331833,2.8385110315575806,2.7191835358532264,-0.6676884610546876,0.2595278581826366,0.24091054504482856,-0.0036392562623444036,-0.06774640560276435,0.2004732211562832,0.07152166970738616,0.1391656326827917,-0.09576926130558938,-0.1598045874819709
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.11540624513638464,0.06928925283602198,2.7898963501201353,2.6960753457682802,-0.6632833611917289,0.25999656127180504,0.24147680522198767,0.017323648817235693,0.03367381047760798,-0.11540624513638464,-0.04712732350118376,-0.06999421475559764,0.053246088157399285,0.09433476320748202
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.10956817193875645,0.06580231031961865,2.7855628978138567,2.6979579040038284,-0.6643655004871188,0.26029036030406183,0.24179275546128187,0.014592298799032122,0.03250620181891595,-0.10956817193875645,-0.04401632482782247,-0.06762768249878315,0.05076710369971149,0.08914368486494517
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,0.31426973223109833,0.20363556675053648,2.7463781942219105,2.667097315204869,-0.660479760296344,0.26142500754802744,0.2430860705668191,-0.09331094972346854,0.1325676835338241,-0.31426973223109833,-0.07751659671673128,-0.2791938543772243,0.16390677221886918,0.23324248884046828
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,0.3104071960097876,0.20121489321634817,2.7422250322584665,2.669196721592827,-0.6615707122683008,0.2617053348635806,0.2433886474117545,-0.0926992146377259,0.13086362503420546,-0.3104071960097876,-0.07633305028175164,-0.27608819124198547,0.16197578092949083,0.2303332263525082
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.3188147233150751,0.1936780689952365,2.8462948863854374,2.710805953411019,-0.6677076498290643,0.26004809177218335,0.24147274790902423,-0.1265180562537549,-0.0726206114820549,0.3188147233150751,0.15967200946287452,0.1430638101192372,-0.13675611096268803,-0.2738436105479858
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.32745044968789383,0.19892899034424294,2.842274911459718,2.7130202814746944,-0.6689295472344605,0.26036088006732366,0.241807457926237,-0.13222543490876149,-0.07389544688628513,0.32745044968789383,0.16469621802006618,0.14540316183242474,-0.14000943718875947,-0.2810191034158138
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.31154278546907666,0.1967097971798757,2.743712892255118,2.6552808938852626,-0.6605112754261829,0.2623061830576809,0.24404820941342154,-0.2260143902356182,0.14814401152731804,-0.23821086871052,-0.0016490882093878056,-0.31154278546907666,0.14519651418973822,0.15147932210841653
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.3240144426138736,0.2087913827177267,2.831528845062134,2.699329868465918,-0.6677552150071433,0.2609936432013481,0.2425096020427781,-0.22355437311890602,-0.04498487489431602,0.3240144426138736,0.19847272817332673,0.08300869793154142,-0.12653163215164964,-0.2930515535741529
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.38644024052025827,0.2345192240756078,2.853279440578492,2.713882867058813,-0.6688871946764519,0.26019087253028006,0.24161859668117586,-0.15048708745635242,-0.08942372919739094,0.38644024052025827,0.19243386135985308,0.17520440852674124,-0.16604223598521983,-0.3312377378909548
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.042382958628151,0.028793540413491896,2.797772703696041,2.696955035274625,-0.6639156355337834,0.26009155686916324,0.24156926256752692,-0.018639244892204587,0.019877286969971486,-0.042382958628151,-0.007995893068457605,-0.04174084637926789,0.022833272290045947,0.030611137375124997
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.06462385895091849,0.0419479119591993,2.8161440795238595,2.7145333104693705,-0.6667028213942926,0.2596961114455143,0.24111177457782662,0.03913594567452883,-0.03065878283080581,0.05612975914208729,0.005072345705636749,0.06462385895091849,-0.032065789015556234,-0.03827625233021603
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.28375991151439184,0.17618961106770503,2.7535486242736544,2.678126692058362,-0.6619281398921761,0.2610977071387993,0.24271383549162034,-0.03590507455050185,0.10518162876373971,-0.28375991151439184,-0.08745339507695293,-0.22140598157829317,0.14140185169855268,0.2185502868766953
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.1787390065246086,0.10103957617350702,2.775582877940417,2.6747216597237813,-0.6628493719299491,0.2614722034899063,0.2430957578172795,-0.1787390065246086,0.0746205247210252,-0.06124352182036441,0.04476254370402444,-0.15806081676285055,0.05319379910786459,0.019490001722033412
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.075165071276595,0.04669227873072214,2.787412401735149,2.6914077593616184,-0.6644596972220003,0.26076592960758793,0.24230810466303337,-0.07253327406497867,0.03547576889035842,-0.04072865805451187,0.01259052172186692,-0.075165071276595,0.029159028259728714,0.020595983426563436
