name,design_phase,x,y,z,epsilon_med,exact_slope_ratio,six_param_max_error_pct,six_param_rms_error_pct,four_param_max_error_pct,four_param_rms_error_pct,a0_wall,a1_wall,hQ6,hu06,a06,a16,hd06,hd16,hQ4,hu04,hd04,hd14
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,0.04592507513063854,0.04698134457166784,0.48449055208175107,0.24327595732671156,11.446837260212128,5.887803520028639,0.27704839261127945,0.2263202690263388,2.963740163757511,3.338152445976441,0.28079314428459473,0.2427912379197525,2.9741700898367727,-0.7244638568011825,3.211698568917657,3.341465781260837,2.98232859618316,-0.6898713275693086
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,0.04541514751536632,0.0468419761759178,0.835380134402508,0.4095249328884265,20.238459450222624,10.728145068016946,0.28548577229082694,0.21634444238626396,3.0893731973080913,3.5425859494072633,0.2959948188680308,0.2460264833593236,3.11276703411151,-0.761730078358513,3.4669863595696078,3.36895981997665,2.9934258350592367,-0.6742967169821568
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,0.04753306002956719,0.04796289563269123,0.11851473372873622,0.06241889408674962,2.3608835362407765,1.2536441465539865,0.2635365830624751,0.24607039045517273,2.797239822341085,2.955267087543359,0.26105727355804786,0.2420134865913376,2.6961179032422384,-0.664884946571114,2.739859228789866,2.934542642713018,2.675290763427923,-0.6684359094604311
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,0.048060388017353885,0.04797519183059835,0.02238366938696057,0.011869776424138261,3.201405540064428,1.79527060530876,0.2635365830624751,0.24748111341437534,2.7996193723459384,2.8955810283202834,0.25869218245558984,0.24179136860127481,2.651048418334484,-0.655287253604927,2.714785388220142,2.8748978338979874,2.625898877693838,-0.6605215159104406
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,0.048865683740793746,0.047992362714811346,0.21372936461570013,0.11444143007519175,4.326899763275427,2.539830515537853,0.2635365830624751,0.24969796377883688,2.8040045913374594,2.8087168258193933,0.2555830436499757,0.24169845966101555,2.5848031508501896,-0.6416903167978263,2.6824656397011912,2.7839678637729044,2.551005487598614,-0.6486010412255794
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,0.04598350503488643,0.04795230394386892,0.6244440832671283,0.32253340313885154,1.6557764796095276,0.8399125811200263,0.2635365830624751,0.2418382215775658,2.7955170477354834,3.1443938681940624,0.2697140112616615,0.24347696366853086,2.836257911473235,-0.6965812825264971,2.8354089404833163,3.1072082878356637,2.8192031981318655,-0.6910195511781405
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,0.04548061384221574,0.04794930782141879,0.821608978226962,0.4213897465751923,2.875415103178469,1.5989758255917008,0.2635365830624751,0.2404274986183635,2.79713993103421,3.2110403229599394,0.27317492016507955,0.24427341452002294,2.884673074543812,-0.708262434249491,2.872697251919051,3.1607164306298836,2.8641132809244176,-0.6978095168635936
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,0.044735067028966326,0.0479542042095054,1.1500536028096642,0.5839296096547145,4.838492269823269,2.844541640488567,0.2635365830624751,0.23841218010521714,2.802452344216095,3.3144385777292062,0.2789470530651882,0.24576577481113107,2.9586568498854695,-0.726844747542932,2.929345389703531,3.233429981448775,2.925388731349583,-0.7068703672792185
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.0466700836152578,0.048090122498086495,0.4229635528278264,0.2201881366173082,0.5776578464426141,0.3139960528891334,0.26353658306247524,0.24334971046242584,2.7972466838097643,3.059801694521812,0.2667207257912559,0.243032502571648,2.7718754308110305,-0.6826180810371842,2.804655104968558,3.0310554911507297,2.755570025250019,-0.6807635831100401
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.04658906433158302,0.04822497248301631,0.4906819675670526,0.2550742876333981,1.1317961540665222,0.5627322357772389,0.2635365830624751,0.24274511490848152,2.799384333556021,3.072128523854389,0.26840310080825647,0.24349626284398487,2.778763516903995,-0.6851842884197131,2.8253721951972035,3.039674773893975,2.762779005707808,-0.6815113344019874
