name,design_phase,x,y,z,success,nfev,cost,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,True,18,2.5575471820707517e-24,1.300848317953296e-10,6.044658273785737e-11,2.8838359239049662,3.092224710395678,-0.032294840083707546,0.2670262949834431,0.24088400301013585,2.7982680497580916,-0.6837676781036722,-4.0401015866109447e-11,-6.432632204678157e-11,7.30526750203353e-12,1.0769163338864018e-11,5.2025050933934835e-11,-2.8976820942716586e-12,-1.300848317953296e-10
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,True,8,4.674821220658674e-23,6.743938740783051e-10,2.584242816013163e-10,2.94966940871318,3.1940155703778914,-0.032856714101463125,0.27243381568915154,0.24087641991866174,2.8723282133094097,-0.6993566148653264,-2.8954616482224083e-11,6.743938740783051e-10,-2.4091839634365897e-12,5.240252676230739e-11,3.4727776210274897e-11,2.7533531010703882e-12,-8.871792189779626e-11
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,True,8,5.614933575256485e-23,7.471134821912528e-10,2.8321947155897205e-10,3.053772992599146,3.325673705094614,-0.03379896148856754,0.2810565980221595,0.24180225188456797,2.9655148055029876,-0.7215528516908319,4.241051954068098e-12,-7.471134821912528e-10,1.234568003383174e-11,2.6201263381153694e-12,-1.701971896750365e-11,-3.8191672047105385e-12,5.3224091800530005e-11
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,True,7,1.1494274317603387e-22,9.847012094610363e-10,4.052199453034155e-10,2.7966843434267887,2.908077657232957,-0.03154383932043563,0.2592859412262234,0.24198945909119834,2.660709480282141,-0.6576717044359495,2.980504731908695e-10,9.847012094610363e-10,1.0933476346508542e-10,-3.68816088780477e-11,2.653210984249199e-10,-7.848166561075232e-11,-3.290701044988964e-11
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,True,6,7.906595534642612e-24,2.7674529334831277e-10,1.0627836338177196e-10,2.7996719550910565,2.9047467455374263,-0.031503903265135705,0.2590215434286025,0.24178573544909682,2.6579550090939676,-0.6566707096529557,-3.962385974887184e-11,-2.7674529334831277e-10,-8.304468224196171e-12,-6.0174087934683484e-12,-2.5723867480564877e-11,-3.774758283725532e-13,1.1857181902996672e-11
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,True,7,5.87098358135849e-23,7.6234574208911e-10,2.896054084013328e-10,2.80379534499225,2.89990438813954,-0.03144481164387298,0.25864809243241643,0.2414925443345563,2.653917640233371,-0.6552044922382712,1.3811174426336947e-11,7.6234574208911e-10,-1.7985612998927536e-12,1.836308882730009e-11,-1.1035616864774056e-11,4.729550084903167e-12,7.247535904753022e-11
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,True,7,1.6278224413242072e-23,3.9351855107838674e-10,1.5249411706684033e-10,2.7880986271433645,2.914626996195719,-0.03165399421637593,0.2599803128888964,0.24259269549331544,2.666256370840049,-0.6601141470372064,5.240252676230739e-12,-3.9351855107838674e-10,8.43769498715119e-13,-1.871836019518014e-11,-3.68594044175552e-12,-4.207745263329343e-12,8.668621376273222e-11
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,True,7,5.735484977580933e-23,4.816369525428854e-10,2.862443900496564e-10,2.7851782145163635,2.916916964382914,-0.031692744603011094,0.2602231004065818,0.2428021005582639,2.668193041371853,-0.6609635476083756,4.816369525428854e-10,2.489786155024376e-10,1.9479973190072997e-10,-1.2035927809961322e-10,4.482858528831457e-10,-1.45372602844418e-10,-7.113198918773378e-11
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,True,7,2.7666398846297234e-22,1.6032286609402036e-09,6.286762432716049e-10,2.7808779211796217,2.9189224971742393,-0.03174497931107321,0.2605435269885064,0.24310763214234668,2.6699567849324497,-0.6619853219205495,-3.1271651934616784e-10,1.6032286609402036e-09,-1.248778858098376e-10,1.0405010186786967e-10,-2.41096032027599e-10,9.403589018575076e-11,-7.149836278586008e-11
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,True,8,6.0714075898789e-23,4.396261132910695e-10,2.945051520270583e-10,2.793730655025467,2.8989545933304677,-0.031618656570496353,0.26022521513079716,0.2426484706212448,2.652202364252298,-0.6574875448020413,4.1877612488860905e-10,-4.230282790729234e-10,1.7572610033766978e-10,-5.5577764612735336e-11,4.396261132910695e-10,-1.3119505481995475e-10,-9.140466161738914e-11
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,True,7,1.0412742058258724e-22,1.0143996753697593e-09,3.8568571662775975e-10,2.795231024067696,2.8866073604085742,-0.0316406506867081,0.2608221628774918,0.24301156741007718,2.64098524564697,-0.6561051060806967,7.149836278586008e-12,-1.0143996753697593e-09,-2.0439205883349132e-11,7.993605777301127e-12,2.291500322826323e-11,8.992806499463768e-12,-1.0549339179988237e-10
