N_eff,threshold_ratio_kAdj_over_k0,threshold_mismatch_pct,max_error_pct,rms_error_pct,h_d0,h_d1,a_d0,a_d1,error_ct_pct,error_ut_pct,error_sb_pct,error_db_pct,error_Vus_pct,error_Vcb_pct,error_Vub_pct
21.25,1.0119047619047619,1.1904761904761862,1.1914246209921542,0.5943903019590403,2.704695341032898,-0.6693001007078514,0.26009841513379695,0.24241716985070622,-1.1914246209921542,-0.04550211776926938,0.6682407552557557,0.09873814501364375,0.6900764927899372,-0.18261253651632448,0.2927249810884325
21.26,1.0123809523809524,1.2380952380952381,1.2150170850407704,0.6061322888289257,2.7055084733769665,-0.6695667684843165,0.26004989179409055,0.24244003432855768,-1.2150170850407704,-0.04733767544982115,0.6890828707270646,0.10863789498292142,0.700144602496211,-0.1897375210063612,0.28359637203425603
21.27,1.012857142857143,1.28571428571429,1.2385788791573926,0.6179513644004856,2.706321462211949,-0.6698336335219109,0.26000146621931164,0.2424629842087261,-1.2385788791573926,-0.049142033690197096,0.7099392091741263,0.11855508461129372,0.7102039333662047,-0.19686180798136332,0.2744839790597364
21.28,1.0133333333333334,1.333333333333342,1.262122533548904,0.6298427368422312,2.707133267696891,-0.6701004531737471,0.25995315473031944,0.24248602299309557,-1.262122533548904,-0.05100407990658029,0.7308021984497648,0.12848930958195837,0.7202322378247805,-0.20398091771227644,0.2653947231628262
21.29,1.0138095238095237,1.3809523809523716,1.2856595959591766,0.6418018861782784,2.707945708601428,-0.6703674246577291,0.2599048814005488,0.2425090602351344,-1.2856595959591766,-0.05283608796166073,0.7516378911390564,0.13839687404577639,0.7302721703205783,-0.2111114142876791,0.25627464313131565
21.3,1.0142857142857142,1.4285714285714235,1.3091727450916801,0.6538248836125168,2.7087574947251647,-0.6706344700269451,0.2598567133270822,0.24253218318600397,-1.3091727450916801,-0.05468178487078035,0.7724830642790614,0.14832124981816186,0.7402928267570719,-0.21823851064787236,0.24717338106183817
21.31,1.0147619047619048,1.4761904761904754,1.3326606678665587,0.665907923105472,2.709568962821261,-0.6709016493757191,0.25980864226299005,0.24255538364835738,-1.3326606678665587,-0.05651792400198641,0.7933366411841725,0.1582586390858065,0.7503017807280576,-0.2253634956849937,0.23808509514191556
21.32,1.0152380952380953,1.5238095238095273,1.3561413325103522,0.6780472803979939,2.710380334276783,-0.6711688740964206,0.25976063102813335,0.24257860933046976,-1.3561413325103522,-0.05836740520828165,0.8141699820373383,0.16818265169926683,0.7603055197222597,-0.23249663043193314,0.22898341203347883
21.33,1.0157142857142856,1.571428571428557,1.3795998214164995,0.690239765789068,2.711191547488114,-0.6714362364676071,0.25971270751009295,0.24260189915300628,-1.3795998214164995,-0.06020376247405368,0.8350063800067753,0.17811252392947452,0.7703012060270353,-0.239629395377694,0.21988737730718189
21.34,1.016190476190476,1.6190476190476089,1.4030414623068754,0.7024822269792624,2.712002430286314,-0.6717036739781114,0.25966486827242413,0.24262524615612072,-1.4030414623068754,-0.06204829344984564,0.8558387613315732,0.1880453376455371,0.780286118620932,-0.2467628484383977,0.21079434098243421
