r,Phi,Phi_prime,phi,phi_prime,V,V_minus_Vfalse,action_density_4d,w_FWHM,R_peak
1.0881712506287604e-05,2.041106525798726,-2.2136033078955133e-07,-2.736228633252663e-07,-4.114434542086124e-12,0.04830294428360317,-0.7234594524177714,-1.840075655140322e-14,1.7517899927739728,5.860202508437851
1.0965624273799744e-05,2.041106525798707,-2.3985255663742895e-07,-2.73622863325626e-07,-4.458150385469845e-12,0.0483029442836086,-0.723459452417766,-1.8829726838320385e-14,1.7517899927739728,5.860202508437851
1.1050183107177937e-05,2.041106525798686,-2.5810500043160373e-07,-2.7362286332601736e-07,-4.797409388909898e-12,0.04830294428361452,-0.7234594524177601,-1.9268697556825425e-14,1.7517899927739728,5.860202508437851
1.1135393996118494e-05,2.041106525798663,-2.7612451237134763e-07,-2.736228633264405e-07,-5.132338877371931e-12,0.04830294428362107,-0.7234594524177536,-1.9717901843419964e-14,1.7517899927739728,5.860202508437851
1.1221261968794528e-05,2.0411065257986385,-2.9391779158431573e-07,-2.7362286332689547e-07,-5.4630633678465815e-12,0.04830294428362798,-0.7234594524177466,-2.0177578269633544e-14,1.7517899927739728,5.860202508437851
1.13077920921528e-05,2.0411065257986123,-3.114914521571246e-07,-2.7362286332738236e-07,-5.7897057966628335e-12,0.04830294428363539,-0.7234594524177392,-2.064797096872921e-14,1.7517899927739728,5.860202508437851
1.139498947221261e-05,2.0411065257985843,-3.2885188419515093e-07,-2.7362286332790127e-07,-6.112384937000173e-12,0.04830294428364335,-0.7234594524177312,-2.1129329765361703e-14,1.7517899927739728,5.860202508437851
1.1482859254367129e-05,2.0411065257985546,-3.460054261849329e-07,-2.736228633284525e-07,-6.431218602596382e-12,0.04830294428365181,-0.7234594524177228,-2.1621910308259058e-14,1.7517899927739728,5.860202508437851
1.1571406623687016e-05,2.0411065257985235,-3.6295822650978015e-07,-2.736228633290359e-07,-6.7463210737318886e-12,0.04830294428366064,-0.7234594524177139,-2.212597420599705e-14,1.7517899927739728,5.860202508437851
1.1660636805226384e-05,2.04110652579849,-3.7971631856479543e-07,-2.736228633296519e-07,-7.057804493396085e-12,0.04830294428367008,-0.7234594524177045,-2.2641789165939067e-14,1.7517899927739728,5.860202508437851
1.1750555064331125e-05,2.0411065257984555,-3.9628564342389037e-07,-2.7362286333030033e-07,-7.365779288600179e-12,0.04830294428367989,-0.7234594524176947,-2.3169629136414975e-14,1.7517899927739728,5.860202508437851
1.1841166706949603e-05,2.0411065257984187,-4.1267194888372057e-07,-2.7362286333098156e-07,-7.67035229390223e-12,0.04830294428369033,-0.7234594524176843,-2.3709774452214495e-14,1.7517899927739728,5.860202508437851
1.1932477079945784e-05,2.04110652579838,-4.2888094097975717e-07,-2.7362286333169577e-07,-7.971629567643261e-12,0.04830294428370131,-0.7234594524176733,-2.426251198347268e-14,1.7517899927739728,5.860202508437851
