r,Phi,phi,Phi_prime,phi_prime,gradient_density,H_PhiPhi,H_phiphi,H_cross,H_eigen_soft,H_eigen_hard,mixing_sin2_2theta
1.950930813876084e-05,2.041106516879506,-2.736228280533085e-07,-1.2882510216176932e-06,-2.3944777936179528e-11,1.6595906952723827e-12,0.694222499076783,19.2726100344861,-5.167222804104794e-06,0.6942224990753463,19.272610034487535,3.0942708933655877e-13
1.965974958149483e-05,2.0411065168793114,-2.736228280569288e-07,-1.301097782289005e-06,-2.418356123737157e-11,1.6928554396622117e-12,0.6942224990765447,19.272610034482426,-5.167222804172667e-06,0.6942224990751082,19.27261003448386,3.094270893448021e-13
1.981135111804306e-05,2.0411065168791134,-2.736228280606132e-07,-1.3139772407978492e-06,-2.442295229470349e-11,1.7265361899312097e-12,0.6942224990763024,19.27261003447869,-5.167222804241744e-06,0.6942224990748667,19.272610034480124,3.094270893531915e-13
1.996412169419622e-05,2.041106516878912,-2.736228280643626e-07,-1.3268911295368548e-06,-2.466298330823286e-11,1.7606400702518531e-12,0.6942224990760558,19.272610034474887,-5.1672228043120406e-06,0.694222499074618,19.272610034476322,3.09427089361729e-13
2.0118070324728364e-05,2.041106516878706,-2.73622828068178e-07,-1.33984126413162e-06,-2.4903688025072047e-11,1.7951746136900113e-12,0.6942224990758036,19.272610034470997,-5.167222804383572e-06,0.6942224990743657,19.272610034472436,3.0942708937041714e-13
2.0273206093928853e-05,2.041106516878497,-2.736228280720602e-07,-1.352829360086706e-06,-2.5145098331379345e-11,1.8301472781448824e-12,0.6942224990755475,19.27261003446705,-5.167222804456354e-06,0.6942224990741099,19.272610034468485,3.0942708937925687e-13
2.042953815613845e-05,2.0411065168782847,-2.736228280760101e-07,-1.3658570593546452e-06,-2.538724474619831e-11,1.865565507233431e-12,0.6942224990752873,19.27261003446304,-5.167222804530409e-06,0.6942224990738506,19.272610034464478,3.094270893882511e-13
2.0587075736289345e-05,2.041106516878069,-2.736228280800287e-07,-1.3789260916531638e-06,-2.5630159419867952e-11,1.9014371668987744e-12,0.6942224990750231,19.272610034458964,-5.167222804605752e-06,0.6942224990735877,19.2726100344604,3.094270893974015e-13
2.074582813044975e-05,2.041106516877849,-2.736228280841169e-07,-1.392038290709434e-06,-2.5873876435955424e-11,1.9377706034707e-12,0.694222499074754,19.272610034454814,-5.167222804682399e-06,0.6942224990733177,19.27261003445625,3.094270894067104e-13
2.0905804706372264e-05,2.041106516877625,-2.736228280882757e-07,-1.4051951739182912e-06,-2.611842399834493e-11,1.9745734774854287e-12,0.6942224990744791,19.272610034450576,-5.1672228047603675e-06,0.6942224990730406,19.272610034452015,3.094270894161803e-13
2.106701490404673e-05,2.0411065168773974,-2.736228280925061e-07,-1.4183982194792454e-06,-2.6363829582395448e-11,2.011853509716945e-12,0.6942224990742007,19.272610034446284,-5.16722280483968e-06,0.6942224990727635,19.272610034447723,3.0942708942581294e-13
2.122946823625724e-05,2.0411065168771656,-2.73622828096809e-07,-1.431648981335445e-06,-2.6610122071316296e-11,2.049618806466916e-12,0.6942224990739171,19.272610034441907,-5.1672228049203525e-06,0.6942224990724792,19.272610034443346,3.09427089435611e-13
2.139317428914348e-05,2.0411065168769302,-2.736228281011854e-07,-1.4449490918448383e-06,-2.685733180581608e-11,2.0878778787445394e-12,0.6942224990736287,19.272610034437463,-5.167222805002402e-06,0.6942224990721915,19.272610034438898,3.0942708944557617e-13
2.1558142722766405e-05,2.0411065168766918,-2.736228281056367e-07,-1.4583002645296728e-06,-2.7105490635207772e-11,2.1266396622620213e-12,0.6942224990733366,19.272610034432958,-5.1672228050858585e-06,0.6942224990719001,19.272610034434393,3.094270894557117e-13
2.1724383271678267e-05,2.0411065168764475,-2.7362282811016333e-07,-1.4717042731716364e-06,-2.7354631528849238e-11,2.16591346841993e-12,0.6942224990730375,19.272610034428343,-5.167222805170724e-06,0.6942224990716017,19.272610034429782,3.094270894660194e-13
2.1891905745497055e-05,2.0411065168762,-2.736228281147668e-07,-1.4851626379831167e-06,-2.7604782742994675e-11,2.2057080620229943e-12,0.6942224990727344,19.27261003442367,-5.16722280525703e-06,0.6942224990712962,19.272610034425107,3.094270894765014e-13
2.206072002948521e-05,2.041106516875948,-2.736228281194481e-07,-1.4986767150223683e-06,-2.7855969482758258e-11,2.246031896926192e-12,0.6942224990724256,19.27261003441891,-5.1672228053447965e-06,0.6942224990709871,19.272610034420346,3.0942708948716103e-13
2.223083608513316e-05,2.041106516875692,-2.7362282812420825e-07,-1.5122479218254876e-06,-2.8108218095945493e-11,2.2868937778555776e-12,0.6942224990721123,19.27261003441408,-5.167222805434042e-06,0.6942224990706745,19.272610034415514,3.09427089498e-13
2.2402263950746984e-05,2.041106516875432,-2.7362282812904857e-07,-1.5258777425350136e-06,-2.836155616837876e-11,2.328302885968127e-12,0.6942224990717937,19.272610034409166,-5.16722280552479e-06,0.6942224990703583,19.272610034410604,3.0942708950902164e-13
