name,design_phase,x,y,z,m_true_Phi_dimless,xi_false_Phi_dimless,R_peak_dimless,R_gradient_peak_dimless,hessian_mixing_max_radius_dimless
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,1.0700777138836166,0.2698936643051774,5.818784116004833,5.181174215592316,5.868952873036376
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,1.0384521379881535,0.2781131500685985,5.902787616150673,5.234551439643319,5.959373307221134
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,1.0700777138836164,0.2698936643051774,5.788157839909996,5.146756114838118,5.839784991041293
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,1.054146332249901,0.2761221357118483,5.872744697695737,5.218800783365973,5.925538564106837
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,1.054146332249901,0.2718410961042513,5.878286595274803,5.230467936164007,5.930788782865953
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,1.0541463322499007,0.2761221357118483,5.842118421600899,5.184674361431727,5.896370682111755
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,1.0541463322499007,0.2718410961042513,5.847660319179965,5.196049835409809,5.901620900870869
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,1.0384521379881535,0.2802951873906918,5.915329805408558,5.245926913621401,5.971040460019167
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,1.0384521379881535,0.2759494481548827,5.920871702987624,5.257302387599483,5.976290678778282
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,1.0700777138836166,0.272011212678439,5.800700029167881,5.1581315888162,5.8517438226592775
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,1.0700777138836166,0.2677939094470816,5.806241926746948,5.169507062794283,5.8569940414183925
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,1.0355911722606672,0.28132476728794,5.942747614483936,5.272469686236926,5.998166590274595
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,1.0648512863654378,0.2705894270841978,5.83511812992208,5.193716404850202,5.886453602233426
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,1.0724670321689702,0.2698207280205875,5.79661652568857,5.158714946456103,5.847076961540064
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,1.0561983631963328,0.2753983005689243,5.839201633401391,5.184091003791824,5.892870536272344
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,1.064323632075843,0.269064884055656,5.806825284386849,5.163381807575315,5.85961915079795
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,1.04267191140764,0.2757470516695938,5.896370682111755,5.234551439643319,5.951789657902412
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,1.046870594918864,0.2772782180553129,5.894912288012,5.235134797283219,5.948872869702904
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,1.053261372854028,0.2726467104017196,5.861077544897704,5.209175382307596,5.914746447768657
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,1.0541463322499005,0.2739725846931947,5.89112046335264,5.242135088962041,5.942747614483936
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,1.054146332249901,0.2739725846931947,5.912121338389099,5.265469394558107,5.9625817742405935
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,1.0541463322499005,0.2739725846931947,5.943914329763739,5.300762531772158,5.99291637151548
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,1.0541463322499007,0.2739725846931947,5.829867911162965,5.173590566273594,5.884703529313722
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,1.0541463322499005,0.2739725846931947,5.8100337514063085,5.151131297137381,5.866036084836868
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,1.0541463322499007,0.2739725846931947,5.780865869411225,5.118171590482937,5.838326596941539
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,1.0229915998384578,0.2823162920760664,5.9768740364181845,5.2966790282928455,6.034918121588399
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,1.0027350089656115,0.288019459487388,6.057085711904662,5.357639901662569,6.118338264094337
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.9730997107834014,0.2967909578956201,6.180757531563815,5.451560481686737,6.247260302512604
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,1.0862498675173804,0.2658754711302512,5.747614483936831,5.121088378682445,5.79632484686862
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,1.1081935704451178,0.2606107840666807,5.674694778949123,5.065086045251885,5.720196674861453
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,1.1419430891633078,0.252908571392085,5.568815367306971,4.983415975665652,5.609650402100087
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,1.0541463322499005,0.2782899342686932,5.854660610858786,5.196049835409809,5.908329513729738
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,1.0541463322499005,0.281209042300632,5.851160465019376,5.188174507271136,5.904537689070377
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,1.0541463322499005,0.28565014818585,5.84561856744031,5.176507354473102,5.899287470311263
