name,x,y,z,k_geo,correlation_E,relative_shape_residual,adiabatic_relative_error,heavy_norm_fraction,scalar_profile_overlap,gap_min,gap_at_core,theta_total_core,fit_h_Q,fit_h_u0,fit_h_u1,fit_a_d0,fit_a_d1,fit_h_d0,fit_h_d1
pair_ym1p5_zp1p5,0.0,-0.015,0.015,0.19944101230863845,0.8095633080913057,0.6788676880680001,0.30590200525244476,0.0524718453759808,0.9986855337087168,2.0123395396457404,2.247939002096626,1.5707522877818196,1.9191370106442904,0.3728257528488307,-0.0339834602736464,0.3226379248554599,0.4964966805343878,0.0976627653592164,-0.1481034745934829
pair_yp1p5_zm1p5,0.0,0.015,-0.015,0.1988971159733957,0.8153582079060623,0.6655432258488309,0.30684154944180503,0.05183572466861737,0.9986801311638527,2.0464130394067093,2.286493301831509,1.5707595922327393,1.9305148336897189,0.3792696333674814,-0.0326344205930804,0.3116464973197982,0.4779920164055707,0.1105487929359437,-0.148925027271725
pair_yp1p5_zp1p5,0.0,0.015,0.015,0.1992781337953974,0.8142029259605352,0.6690463052783303,0.3061858205660775,0.05169246688968859,0.9986647292346305,2.0647268007849373,2.3040770388013723,1.5707645445593916,1.9300360301312824,0.3797354316443123,-0.0325105336513635,0.310714178985799,0.4764080635125555,0.1116425022189916,-0.1489400098055063
validation_01,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.20069206098024395,0.811573111403207,0.6732177289106647,0.3066213232840131,0.052640005062062296,0.9987040745681258,1.9864282096708268,2.221433524874547,1.570742822233141,1.934366450232765,0.3734151730557949,-0.0344825549773821,0.3250657701607474,0.5010280320069934,0.0953572299374975,-0.1487045806938199
validation_02,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.2003559015847325,0.8147131153001335,0.6673955994802313,0.306424249928628,0.05182776494429314,0.9986734047256873,2.047829163934217,2.2862695980399828,1.5707605084567788,1.9401283540516003,0.3795166184044849,-0.0329370656943058,0.3131224333284365,0.4806549299036146,0.1090153592141715,-0.1493096298485747
validation_03,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.199240987410912,0.8154183014869508,0.6657715338306172,0.3066260861683787,0.05171578175852509,0.9986728306203576,2.0568511608523887,2.296840307994445,1.5707622595263149,1.9334496613043697,0.3802421894709545,-0.0325082880961718,0.3104397227338674,0.4760103102246284,0.1120699714088168,-0.1490970479086224
validation_04,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.1979321771781081,0.8125627454351828,0.6716778970795515,0.3066130025003371,0.05220730601406156,0.9986882325419666,2.0261163040784402,2.26504581897642,1.5707549018541234,1.9150039828730705,0.3751140153338587,-0.0331226111539928,0.3165957029063405,0.4860784240122137,0.1043706527038411,-0.1480874702529889
validation_05,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.19743018880455976,0.8119672110654665,0.6741276803309699,0.30601137686823726,0.05189111674537004,0.9986670483397666,2.0588804089084825,2.298702156106229,1.5707635893670888,1.9094527931572127,0.376684029546148,-0.0325161059033048,0.3124139393381149,0.4788880240102856,0.1091120130931946,-0.1479880096806704
validation_06,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.19862111808147254,0.8099293937302594,0.6779770636909421,0.3060332338208311,0.05242152446377979,0.9986857422528919,2.0166136760661257,2.2532835462433414,1.570753270864868,1.9136555279568437,0.3729218764261178,-0.0337102726810383,0.3210753191181651,0.4936971970432027,0.0992717569397657,-0.1479043181493468
validation_07,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.20002415475275553,0.8124771382644238,0.6716797085300196,0.3065424185153888,0.05235064518888936,0.9986927821561586,2.010143580218426,2.2467510290696575,1.5707505199013514,1.9311784122730635,0.375056341515265,-0.0338074062361855,0.3203666721107658,0.492842952759994,0.1004553001340529,-0.1486900600269941
