name,design_phase,x,y,z,c_d0_fit,c_d0_pred,c_d1_fit,c_d1_pred,a_d0_fit,a_d0_pred,a_d1_fit,a_d1_pred,Z_F_pred,c_d0_relative_error_pct,c_d1_relative_error_pct,a_d0_relative_error_pct,a_d1_relative_error_pct
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,3.503357071411436,3.5407181581097737,-0.8600112011330756,-0.8749760270211626,0.2597339997481285,0.26536472744944073,0.2407088020587838,0.23749146288569337,0.9919456278978344,1.0664367330186497,1.7400733697852555,2.167882413073574,-1.3366105209167811
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,3.525773550236099,3.541427971257789,-0.86674274424079,-0.8744836053512519,0.2607512308376255,0.261266842015637,0.2408071748937247,0.24375128299305748,0.9913873777201546,0.4439996159322668,0.8930978842219606,0.19774064972009064,1.2225998252054282
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,3.5186115447759443,3.541325053556337,-0.8656408098062842,-0.8745549857011429,0.2611785351734943,0.2612881681085264,0.2409921064223349,0.24167314872382734,0.9914683004240981,0.6455247614393755,1.029777685372002,0.041976242404162534,0.2825994226959949
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,3.564375838143734,3.5417691590383034,-0.8819270703067956,-0.8742470103405022,0.262542229469845,0.2573074510998353,0.2421833427494496,0.24827940290902464,0.9911191539297332,-0.6342394890995529,-0.8708271040622106,-1.9938805199378185,2.5171261121297306
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,3.557388718741133,3.5416639088686432,-0.8808194268180453,-0.874319988731597,0.26296535613578,0.25732893002235474,0.2423534050728009,0.2462026613172525,0.9912018883061525,-0.4420323758730027,-0.7378854153941017,-2.1434101420245377,1.5882823033970928
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,3.526136840607984,3.54044826363361,-0.8686766841140264,-0.8751633348067427,0.2599174752200537,0.26542153458236173,0.2415990289777412,0.23774225456936587,0.9921579755887876,0.40586692101145516,0.746727846083739,2.1176180469005157,-1.5963534392891332
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,3.519320095686499,3.540352219459042,-0.8677342472103042,-0.8752299994994599,0.2603595529710254,0.2654417528025953,0.241808665589623,0.23566071436857192,0.9922335522313857,0.5976189491351258,0.863830408129429,1.9519928397386144,-2.5424858972940445
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,3.5902531782430387,3.5415203888098765,-0.8925138917566111,-0.874419512526096,0.2632088829906273,0.25664919240234546,0.243333706590122,0.24852817368834854,0.9913147167606201,-1.3573635900800296,-2.0273498707008897,-2.4921995465158386,2.13470923162169
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,3.5439750033484247,3.540333952436311,-0.8767811282184574,-0.8752426792966886,0.260917358033753,0.2641491203926839,0.2425817647371647,0.2374638545323519,0.9922479271045653,-0.10273918153128614,-0.17546556058919416,1.238615316085201,-2.1097670760034326
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,3.523654906665864,3.5402727778727243,-0.8687033370487386,-0.8752851440983782,0.2599860908978744,0.26605120496785534,0.2418203540331722,0.23597553126486673,0.9922960687371069,0.47160893013171723,0.7576587735923956,2.3328609807681477,-2.4170102602296684
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,3.528002877379069,3.541246990664208,-0.8679577834887381,-0.8746091314543263,0.2606895216978184,0.2618130074719403,0.2410332606337666,0.24278714774735383,0.9915296845551838,0.3753997302569756,0.7663215990590277,0.43096698586306825,0.7276535648962357
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,3.5006741967493182,3.540995824809434,-0.8591800404737121,-0.874783367120086,0.2602700669868478,0.26387967723663186,0.2405628175457302,0.23853842534733866,0.9917272126034237,1.15182464273762,1.8160718256176933,1.3868710649567184,-0.8415233156332302
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,3.5440159150064,3.541670815064388,-0.8750425095293414,-0.8743151999249776,0.2622903624013606,0.2583731767040074,0.2417122009774373,0.2456020398489516,0.991196459316509,-0.06617069443967116,-0.08311705962203986,-1.493453919347243,1.6092852805048796
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,3.5653836514787662,3.54116939728117,-0.883104531046997,-0.8746629548701053,0.2620712568950565,0.25951678735886835,0.2425877577315637,0.24450070429652068,0.9915907032577672,-0.6791486292801352,-0.955897731255384,-0.9747232742929435,0.7885585747792634
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,3.5345024126961913,3.541137240164264,-0.8719774726872046,-0.8746852619423451,0.261469065329812,0.26110770537769196,0.2416805211754802,0.24170914905534482,0.991615992410951,0.18771602600240467,0.31053431309364665,-0.13820371127430953,0.011845340172800256
