name,nfev,cost,max_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
validation_02,9,9.449230963419414e-24,2.9243274468626623e-10,3.056587313192532,3.2886668649214075,-0.031323969161390075,0.25636660214597856,0.2334034453659472,2.9685023659339493,-0.6969588295958986,6.661338147750939e-13,2.9243274468626623e-10,-1.2989609388114332e-12,-4.7406523151494184e-12,-3.9812597663058114e-11,-3.7192471324942744e-12,8.575362642204709e-11
validation_04,10,4.493916232770553e-24,2.0670132272471164e-10,2.9899901666156086,3.2117053684339996,-0.0309612335180292,0.25320354726015315,0.23331047469508184,2.9096481019362925,-0.6855869200881066,1.907363156306019e-11,2.0670132272471164e-10,9.547918011776346e-13,3.097522238704187e-11,4.241051954068098e-12,-4.263256414560601e-12,-2.920996777788787e-11
validation_03,9,1.3580481705617627e-22,1.1648682018972067e-09,3.101057750801167,3.3404780897766964,-0.031484471199678926,0.2575380789995541,0.23293060196880824,3.009217138141439,-0.7035214350439896,5.10702591327572e-12,-1.1648682018972067e-09,-2.631228568361621e-12,-1.3944401189291966e-11,-4.529709940470639e-12,3.841371665203042e-12,2.9465319073551655e-11
axis_x_m2p0pct,7,1.428065405308726e-22,1.1848966252614446e-09,2.9934146462634,3.2076023837461354,-0.031061092217638177,0.25423962736459904,0.23400603162716424,2.9051441904869493,-0.6863528027417339,-2.589040093425865e-11,1.1848966252614446e-09,1.0658141036401503e-11,-1.809663530139005e-11,-3.618216837253385e-11,-1.0524914273446484e-11,1.468158927764307e-10
axis_x_p2p0pct,6,5.791802780310013e-24,2.325473147379853e-10,2.971267194848105,3.1925770685717914,-0.030894728395118566,0.2525779313246307,0.23347064578725854,2.8949994562664347,-0.6831941968304764,5.264677582772492e-11,2.325473147379853e-10,8.85957973650875e-12,-1.461053500406706e-11,-5.3179682879545e-12,-5.029310301551959e-12,-2.687849942617504e-11
axis_y_m2p0pct,12,7.781893272325325e-23,5.536460179200731e-10,2.8583372200609913,3.0073991181491855,-0.030514569884801678,0.24905835332613124,0.235949530964364,2.748994021294105,-0.6608841022908357,5.536460179200731e-10,-3.300359985303203e-10,2.0539125955565396e-10,-1.3707923685046808e-10,5.264455538167567e-10,-1.5210055437364645e-10,-3.863576125695545e-11
axis_y_p2p0pct,14,4.140769959008144e-23,6.365796778595723e-10,3.1196051056655048,3.361249367098993,-0.03156955761824229,0.258201371423119,0.2328604291740891,3.0253143452686753,-0.7063821434808771,-2.3581137043038325e-11,6.365796778595723e-10,-1.1501910535116622e-11,4.729550084903167e-12,1.1723955140041653e-11,3.241851231905457e-12,-8.93507490218326e-11
axis_z_m2p0pct,7,4.647983455018917e-23,6.752820524980052e-10,2.983730949870108,3.1983173077739866,-0.030948378014265743,0.25314962037059774,0.23356670263587695,2.8988084238493035,-0.6841104317599793,-2.8543833963112775e-11,-6.752820524980052e-10,-9.447997939560082e-12,-2.7389202017502612e-11,3.026467965128177e-11,9.725553695716371e-12,-7.828182546631979e-11
axis_z_p2p0pct,9,5.941473592843513e-23,7.601030915793672e-10,2.980670960979107,3.2020424795669404,-0.03100580432827663,0.2536581534318949,0.23390072627552264,2.901491167237071,-0.685445474273347,2.0250467969162855e-11,-7.601030915793672e-10,-2.4868995751603507e-12,3.976818874207311e-11,-2.332578574737454e-11,-4.9182879990894435e-12,1.1757261830780408e-10
pair_xm1p5_ym1p5,11,2.0496661820822284e-23,3.031241924134065e-10,2.8958562292107874,3.066941847213587,-0.030666356521496484,0.25069270562628826,0.23533213589048646,2.795190305265004,-0.6683691171369519,-2.7081670239681443e-10,-1.1080025785759062e-10,-1.1617373729677638e-10,4.0611958240788226e-11,-3.031241924134065e-10,8.104628079763643e-11,7.582823258189819e-11
