name,design_phase,x,y,z,max_error_pct,rms_error_pct,h_u1_fixed,a_d0_fixed,a_d1_fixed,h_d1_fixed,h_Q_fit,h_u0_fit,h_d0_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,3.4166672349650096,1.8739021927342783,-0.0311668047212994,0.25086447919199484,0.22927011227777172,-0.6929206882934839,3.1330275430032715,3.3047458387013835,2.9927218985283743,-1.7477514417932216,-0.10511409141177319,-1.0520077752663948,-3.4166672349650096,0.47106748923044783,-1.7310290875802492,-2.348654995071342
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,1.038264277310308,0.5961095011845948,-0.031023596238961112,0.2529196907317446,0.23457952540420418,-0.683435178173111,2.9550828567267122,3.1808555183149148,2.884721907053149,0.884504205011627,0.2485435180466622,0.3474594826248678,1.038264277310308,-0.3118428596771916,0.37078844158742186,0.4580975372346474
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,4.001658251813966,2.185066009161318,-0.031343745965920725,0.2490830537053783,0.22782209051601712,-0.6943100169914521,3.1752179116986645,3.331791409226336,3.018604888508029,-1.5017492819469735,0.4334110415902037,-1.2987719447013935,-4.001658251813966,0.4557992573254843,-2.1454943403799276,-2.9099006783238512
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,1.4723891403404021,0.9353761597289036,-0.03090351215122751,0.2534120313266561,0.23255229493774807,-0.6898619687164621,3.044645998365178,3.2427050213404875,2.9366028465984413,-1.4723891403404021,-0.7460579746389917,-0.27505449628988377,-1.4062552753437707,0.3654049890353228,-0.6554526418668272,-0.8852230182874732
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,1.42813797265402,0.8353819020971375,-0.03105085911604158,0.2534120313266561,0.2348691297565548,-0.6796707387211901,2.9215132895071654,3.1588717826129287,2.8645877063776983,1.42813797265402,0.5588110598328422,0.22328394445549904,1.1837410425624029,-0.5133899622587035,0.5682728971977635,0.7039820112732409
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,3.2521656227691986,1.9689956342207307,-0.03053545660349894,0.2585312939383568,0.24075775158768947,-0.6746554120023821,2.802221027545761,3.0548087268647293,2.7709067009986947,0.8361544574133628,-1.6318015887299864,1.3708686375072388,3.2521656227691986,-1.005875253625077,2.0056621204811886,2.507259125981398
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,4.7838391097297706,2.583587634067385,-0.03142551722327397,0.2483941369063581,0.2267602078907311,-0.6950375385386992,3.2037129107578997,3.3512305806872487,3.036013121079825,-1.6411781686704763,0.5643547505130186,-1.583332102331192,-4.7838391097297706,0.4357422974446967,-2.512696276487525,-3.437577966080896
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,1.0651291033757948,0.5360464252729834,-0.030921334427539495,0.2534120313266561,0.23506219932478897,-0.6854765741488998,2.963745404103234,3.184003978703185,2.887369295794068,0.28826282081155785,-0.3159343703573847,0.5323938746771173,1.0651291033757948,-0.18201842453753336,0.38578452093740445,0.47812839487149095
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,1.1205836468314634,0.5572240164517009,-0.03102995329400548,0.2534120313266561,0.23235922536951417,-0.6840095369754023,3.0012003018079136,3.2169237130151727,2.9133238685355343,-0.3128587861381704,0.2760039339263054,-0.5475324079591393,-1.1205836468314634,0.1631918111067776,-0.4020687199904116,-0.5056097011021832
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,1.768496843602163,1.1840472215756475,-0.030587766365743882,0.25724186373049635,0.2380547776324147,-0.6809330081705773,2.8843413843143333,3.1224543235256075,2.829576075896803,-0.27167019208281795,-1.4929619117444948,0.8770624910489966,1.768496843602163,-0.3317201467930575,1.160146516924243,1.4690939049990082
