name,design_phase,x,y,z,max_error_pct,rms_error_pct,h_Q_fixed,h_u0_fixed,a_d1_fixed,h_d0_fixed,h_u1_fit,a_d0_fit,h_d1_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,2.070687554099726,1.5594943421022975,2.976798720485101,3.190540507592825,0.2286118508168542,2.897102325520736,-0.03123493908924221,0.24833635544727573,-0.6695384515498745,1.8551444472006517,-0.9093796975505386,-1.7928405745966103,-2.070687554099726,-1.0978747804682776,-0.24384844963303287,-1.997200664541976
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.9037281908044426,0.49385223501552966,2.9759933085378782,3.1921052982221343,0.23303260311135965,2.8955501855297063,-0.03104719437156931,0.2520293032869889,-0.6818389098765573,0.29825704187553814,-0.14620925282528008,-0.4801270958062043,-0.632257519103252,-0.3423835077053905,-0.18075700200973488,-0.9037281908044426
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.6094249922620865,0.2989146197553902,2.9739055946959208,3.187453643833429,0.23450117102349313,2.8950099763669375,-0.03087926544540584,0.2512720967108802,-0.686339437015248,-0.06799781776143377,0.03426638345365163,0.49251227171591694,0.6094249922620865,0.016538993875370167,-0.04220732343814815,-0.06024620830075156
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,2.052126565028378,1.4866753647006703,2.9728152346886616,3.1890989581875817,0.23992386973361693,2.893097936616928,-0.03069134964024615,0.2560185752753811,-0.7014645759846607,-1.9437729508653745,0.9826091824176153,1.9272274574904769,2.052126565028378,1.0961908182895996,0.06515596674712132,1.263464549665816
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,2.5367933162818157,1.8289931443784126,2.976991279606505,3.1904317833223885,0.2276222514090285,2.8973672582185253,-0.0312764111551265,0.24771060303402526,-0.6668069083006519,2.104122424703414,-1.0294597598744293,-2.151564605381062,-2.5367933162818157,-1.213596139591644,-0.285280793122078,-2.304482930794971
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.9441872514546201,0.43537506581791546,2.974804125435789,3.1894673667960958,0.23506138482016073,2.8952377975327193,-0.03093969433721788,0.2520212622224704,-0.6875246985518345,0.1516156984221917,-0.07596536922773733,0.6074386321924363,0.9441872514546201,-0.1693432178043408,0.0492789894138701,0.08077918245745774
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,1.0409525351134818,0.5899733843589878,2.975123286124211,3.1900759239088687,0.2324874375257537,2.895361409479295,-0.030985018384918295,0.2512642977541562,-0.6807045467755004,0.07596140405004004,-0.03489022861437041,-0.5824930829085417,-0.9533240973282897,-0.15668178934051813,-0.2706220744003396,-1.0409525351134818
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,1.2787193300752508,0.8594645949000455,2.9741733319818113,3.1910295101145554,0.23779271093967802,2.8938875277332605,-0.030812368532611555,0.25509191986263763,-0.6953204785048622,-1.2787193300752508,0.644176892293169,1.1140043712034808,1.1297060272503767,0.6023936180094447,-0.0392584999893808,0.4888844317710417
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,2.35956822894805,1.6555627816827863,2.9772360644438987,3.1920092451650883,0.2285913045797657,2.897017776044448,-0.03125912760229544,0.2489707271266173,-0.6693838121571348,1.7465995326917838,-0.8560997742085519,-1.9747464691864947,-2.35956822894805,-1.0894811884100797,-0.2941240617838847,-2.1591748538292044
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,2.0430973099470284,1.3488689231591473,2.9725377344910195,3.1875209921848175,0.23894225425289578,2.8934099977907457,-0.03069393607526341,0.25463197454283704,-0.6988102228056811,-1.5581484084319364,0.7850075679423751,1.832421544847107,2.0430973099470284,0.9051238202739231,0.07673330760005204,1.1553855599628626
