name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial,chi_lowest_dimension,radial_driver_lambda_epsilon,radial_chi_weight,two_u_identity,radial_chi_weight_minus_2u
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.8640022923875635,0.0642622714920465,0.0642622696457623,1.8462841672173271e-09,0.1359977076124364,1.0729600538410495,0.2535000387490351,0.06895084829906516,0.27199541522487286,0.2719954152248728,5.551115123125783e-17
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,0.8610123008053059,0.0669038686927718,0.0669038667411074,1.951664344024273e-09,0.1389876991946941,1.074683922902901,0.2586578178619533,0.07190050996670623,0.277975398389388,0.2779753983893882,-1.6653345369377348e-16
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,0.8617164266663632,0.0662778269868273,0.066277825053916,1.932911289359573e-09,0.1382835733336368,1.0742774631801746,0.2574448000133543,0.07120077376402029,0.2765671466672736,0.2765671466672736,0.0
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.8700598234122193,0.0590470109299652,0.059047009207154,1.7228111229283802e-09,0.1299401765877806,1.0694845025602897,0.2429959036838975,0.06314986126958594,0.2598803531755612,0.2598803531755612,0.0
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.8707367300899851,0.0584757276808557,0.0584757259752888,1.7055668335985705e-09,0.1292632699100149,1.0690975206884388,0.24181754687220033,0.06251625366063779,0.25852653982002965,0.2585265398200298,-1.6653345369377348e-16
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.8626810257327325,0.0654241510001976,0.0654241490594951,1.940702418212758e-09,0.1373189742672674,1.073721143003134,0.25578144784072027,0.07024729210816849,0.27463794853453466,0.2746379485345348,-1.6653345369377348e-16
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.8708657876158892,0.0583670730524581,0.0583670713288768,1.7235812360683054e-09,0.1291342123841108,1.069023771367732,0.24159277996015693,0.0623957867156853,0.25826842476822154,0.2582684247682216,-5.551115123125783e-17
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.8712987265662366,0.0580031987872481,0.0580031970913709,1.6958771539843374e-09,0.1287012734337633,1.0687764447261316,0.24083852908405437,0.061992450770064496,0.25740254686752667,0.2574025468675266,5.551115123125783e-17
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.8645330856851805,0.0637979432508916,0.06379794141008,1.8408115171064663e-09,0.1354669143148195,1.072654604713028,0.2525825437556602,0.06843315562473429,0.27093382862963883,0.270933828629639,-1.6653345369377348e-16
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.8662519029321667,0.0623039760610427,0.0623039742790466,1.7819960090870166e-09,0.1337480970678333,1.0716666902563874,0.24960764066639987,0.06676909390544496,0.2674961941356664,0.2674961941356666,-2.220446049250313e-16
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.8616701400555994,0.0663189059378622,0.0663189040180023,1.9198598960601387e-09,0.1383298599444006,1.07430417288654,0.2575245697365638,0.0712466753278018,0.2766597198888012,0.2766597198888012,0.0
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.8650622797054388,0.0633364077109081,0.0633364058454158,1.8654922884220326e-09,0.1349377202945612,1.0723502489771402,0.2516672522308292,0.06791881057764883,0.2698754405891224,0.2698754405891224,0.0
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.8652820639294676,0.0631451329947602,0.0631451311608761,1.8338841001330761e-09,0.1347179360705324,1.072223895075006,0.25128694984196076,0.0677057184883367,0.2694358721410648,0.2694358721410648,0.0
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.8703998206818391,0.0587597747492378,0.0587597729829648,1.7662729404066544e-09,0.1296001793181609,1.0692900939601866,0.24240415215702227,0.06283124317403367,0.25920035863632174,0.2592003586363218,-5.551115123125783e-17
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.873337528795257,0.0563025408213176,0.056302539094637,1.7266805207860612e-09,0.126662471204743,1.0676132673678935,0.23728156079779356,0.06010933772393397,0.25332494240948583,0.253324942409486,-1.6653345369377348e-16
