N,max_error_pct,rms_error_pct,h_d0,h_d1,a_d0,a_d1,value_ct,value_ut,value_sb,value_db,value_Vus,value_Vcb,value_Vub,error_ct_pct,error_ut_pct,error_sb_pct,error_db_pct,error_Vus_pct,error_Vcb_pct,error_Vub_pct
27,12.011155525134487,7.436367297673684,3.14870050451537,-0.841779718070139,0.2429430955934256,0.2640083639730541,0.0032421896811135513,7.2600204512259474e-06,0.020973586721422216,0.0009950194135996582,0.23552435124815876,0.04035618284236764,0.0037621749601684613,-12.011155525134487,-0.6852812094896077,12.009053239499012,5.800004314959906,5.004169080766285,-4.369234970692803,-4.513325884049202
28,13.7924522629161,8.438502011911279,3.226677819043257,-0.8772965626671062,0.24163038352877148,0.26947417415319064,0.0031919484711027016,7.269494104531343e-06,0.021307526461065936,0.0010033618762724775,0.23647461379565954,0.040043492833609175,0.0037287610244566027,-13.374637137461198,-0.5556847131346521,13.7924522629161,6.687054933991132,5.427826034623062,-5.110206555428498,-5.361395318360341
29,15.516243290462617,9.381535480052964,3.306471751902579,-0.9152362759765365,0.2407236978735585,0.2755565995616952,0.003147376314298637,7.286242246025448e-06,0.021630304661222236,0.0010112747298739828,0.2370988105591179,0.03973076592318435,0.003693767628395802,-14.584267960663123,-0.32657558404537435,15.516243290462617,7.528425397462057,5.706112598804247,-5.8512655848712125,-6.249552578786743
30,17.191830005007837,10.267327351760214,3.3883227198570154,-0.9559371490937943,0.24022471371100837,0.28233355759024614,0.003108695766639053,7.309493774956164e-06,0.02194405665046219,0.001018806307193555,0.2373143064109645,0.03942213214079937,0.0036570543539828837,-15.634008113760157,-0.008502229745999124,17.191830005007837,8.329254910955154,5.8021874324406975,-6.58262525876927,-7.181361574038481
31,18.84252164550886,11.099898345207507,3.472019644561594,-0.9996344504385104,0.24015209783619662,0.2898769287731328,0.0030761310822455417,7.33709915354586e-06,0.02225314706120201,0.001026050921493036,0.23703243035335428,0.03912567358221944,0.0036190839019652177,-16.517771629252444,0.3691303720021466,18.84252164550886,9.099571764746406,5.676518213711224,-7.285133691423129,-8.14507863032442
32,20.50489945110754,11.886149537286883,3.556726732647815,-1.046335183237279,0.24053715986787091,0.2982244302441642,0.0030497483213205554,7.36529795819927e-06,0.02256442569503655,0.0010331179830654642,0.23618293644807586,0.038853888492867694,0.0035811360952039194,-17.233765718484406,0.7548808493178072,20.50489945110754,9.8510095102192,5.297787092320938,-7.929174187517319,-9.10822093391067
33,22.22818393581725,12.636205664955686,3.640762875570307,-1.0956347121546726,0.24141642137559827,0.3073403346343752,0.0030292263782524154,7.388633270774226e-06,0.022887109045537316,0.0010400979298932481,0.23475356599860905,0.038623813639450943,0.0035455870943381677,-17.79070477342719,1.0741003366236734,22.22818393581725,10.593184380783939,4.660528755510063,-8.474375261964596,-10.010479839132802
34,24.05874561125303,13.362349230731796,3.72216730701856,-1.1468085691597205,0.24281155765479792,0.3171122767799802,0.0030137901572817472,7.401928716762998e-06,0.023229879946087394,0.0010469840331041916,0.23281205523669277,0.0384509865938229,0.0035151268008371543,-18.209623892866645,1.2559777140278117,24.05874561125303,11.325380898232208,3.7949421474332334,-8.883918024116355,-10.7835837350976
35,26.02760815374616,14.077293487775774,3.7991501347591474,-1.1989537736783622,0.24471966541474965,0.3273724525584665,0.0030023032821211494,7.401527695119655e-06,0.023598547550028694,0.00105367363754884,0.2304968883974132,0.038345685868833225,0.0034921277550815453,-18.521362862950873,1.250491868360415,26.02760815374616,12.036683782814862,2.762767898980467,-9.133445808452079,-11.367315860874482
36,28.141228615678404,14.792368810331036,3.870883718217294,-1.251397905656327,0.24711439378546873,0.3379721792857481,0.0029936871507833113,7.386890854647905e-06,0.02399432093416507,0.0010599969065625107,0.22795807181474004,0.0383087886039216,0.0034776478059477495,-18.755193549870974,1.0502646506550084,28.141228615678404,12.709034371946348,1.6308835553901169,-9.220880085493855,-11.734827260209402
37,30.389732650602607,15.516460161769501,3.9370946360922985,-1.303634290408585,0.24995872575799527,0.3487873957791323,0.0029869927757360474,7.3589867707213555e-06,0.024415351136689096,0.0010657979363220265,0.22533306939784986,0.03833650668145606,0.0034719391118239987,-18.936870250750427,0.6685458570386382,30.389732650602607,13.325855476338312,0.4605748541461674,-9.155197437307926,-11.879717974010184
38,32.750848183255954,16.255429133580908,3.9980972339088106,-1.3554215730940342,0.25321170988739783,0.3597414059388566,0.002981545719260976,7.319845264239617e-06,0.02485746773308167,0.0010709542439412197,0.2227172452841232,0.03842132477381983,0.0034744053889932697,-19.08469633502391,0.13310277731364284,32.750848183255954,13.87412354116564,-0.7056418706539391,-8.954206697109413,-11.817122106769807
39,35.20022640897338,17.012715929363445,4.05448718296206,-1.4067183549959215,0.25683990480114705,0.3708008686815735,0.002976951126344247,7.2718683347239255e-06,0.025316111433254754,0.00107539679030194,0.2201668640831624,0.03855525490028376,0.003484108043282521,-19.20938765827693,-0.5232060162075003,35.20022640897338,14.346497665438473,-1.842682085081404,-8.636836729185404,-11.570861845621295
40,37.714447053478125,17.789708651585485,4.106954000865757,-1.4576054356648758,0.2608180188795248,0.3819621514984456,0.0029730097033638745,7.217293869284544e-06,0.025786896813536093,0.0010790982174549684,0.21770746499781063,0.03873089421962972,0.003499995690051698,-19.316352792257174,-1.2697669556246072,37.714447053478125,14.740068889687464,-2.9391596086443927,-8.220629811303981,-11.167622079906137
41,40.27169840844902,18.586037150269007,4.156089208410144,-1.5081688014627495,0.265125282295649,0.39322854215822384,0.0029695851025907075,7.157795430723906e-06,0.02626573965267048,0.0010820628669119528,0.21534999910373248,0.03894210281355454,0.0035211180861702586,-19.409292038401215,-2.083686246048422,40.27169840844902,15.055298845057452,-3.9901921071188173,-7.720135512903936,-10.631520655577187
42,42.85511506425248,19.40060933847989,4.202507350425166,-1.5585924852522628,0.26975343001115265,0.40462873637611274,0.0029667002897069295,7.09501136141955e-06,0.026749481919040724,0.0010843156420546499,0.21308800087176738,0.03918393262382052,0.0035465898909421553,-19.487582137727742,-2.9425518965485065,42.85511506425248,15.294835497870807,-4.998662116911556,-7.147079090472708,-9.985028148676257
43,45.44703655950531,20.230858035292073,4.246528437541718,-1.6088973743731592,0.27468851147367435,0.4161625100676975,0.002964236206939029,7.029680998535402e-06,0.02723481670835964,0.001085895438494259,0.21092448949908993,0.039452803402109056,0.003575792560915016,-19.554454164586932,-3.8362500151571832,45.44703655950531,15.462814602441988,-5.963223584890798,-6.509944544765278,-9.243843631598569
44,48.035342706064334,21.07443198137869,4.288612668770161,-1.659271235575098,0.2799330165179046,0.42786765630016776,0.002962283539675374,6.962920279933736e-06,0.027719474527137654,0.0010868490485508836,0.20884418216575393,0.03974579894471543,0.0036080803683225682,-19.60744703455187,-4.749514934825161,48.035342706064334,15.56421156688983,-6.890690073226069,-5.815642311100877,-8.424356133944965
45,50.6113984949883,21.929119256696215,4.329317355699928,-1.7100367022490381,0.28550193226322784,0.43981291991509697,0.0029610788843299047,6.895912200900643e-06,0.02820183847831482,0.0010872160600293081,0.2068149155468185,0.040059795773920964,0.0036427985276508484,-19.640139826233906,-5.666163664752666,50.6113984949883,15.603235746187472,-7.7954010045392375,-5.071573995447953,-7.543184577389628
46,53.16019637942539,22.79075452673504,4.368641435407062,-1.7610926244433147,0.29138639714537884,0.45198267914693113,0.0029604371013841942,6.828563790617772e-06,0.028679098413280216,0.0010870537445863099,0.20484627958249363,0.04039367477634292,0.0036797155786216494,-19.657556987273463,-6.587468015500297,53.16019637942539,15.585976812004997,-8.673080881634586,-4.280391525253757,-6.606203588283011
47,55.6815218729215,23.65807915180755,4.407240414267384,-1.8129710004333772,0.29763260414701004,0.4644994203213274,0.0029608367561259267,6.762384845175097e-06,0.02915121416965307,0.0010863864578439146,0.20288976898252567,0.04074575887941822,0.0037183036809676426,-19.646710873266382,-7.492774467547825,55.6815218729215,15.51502448759825,-9.545354889645264,-3.446069006117969,-5.626810127724802
48,58.166533531607676,24.52772169428148,4.4451933987077865,-1.8657463789156903,0.30425979419485605,0.4773946803432117,0.0029622935459616387,6.697627763425062e-06,0.029616530195633196,0.0010852624844876998,0.20094353766433315,0.04111598981012252,0.0037584872805149173,-19.60717547685398,-8.378630286674715,58.166533531607676,15.395512863692119,-10.413046070292841,-2.568744525776012,-4.606921814342202
49,60.606631970925996,25.39637993565848,4.482869222314642,-1.9197457455264944,0.31130303864262265,0.49075283807096853,0.0029650416189345424,6.6347705247592725e-06,0.03007343626479192,0.0010836997141475187,0.19897458873490087,0.0415025347364756,0.0037998742529165475,-19.53259632226998,-9.238496870244294,60.606631970925996,15.229344137258627,-11.290865477083878,-1.652761287972504,-3.5564910427272167
50,62.996106059456004,26.261048364088314,4.520423458725639,-1.9752079986631796,0.31881213215102383,0.5046525433885699,0.0029692666517267623,6.574375097217616e-06,0.030520862973302854,0.0010817276189023328,0.19697255351287496,0.041906498316033505,0.0038424869691770255,-19.417934383944345,-10.06468667822471,62.996106059456004,15.019652062311707,-12.183435794527442,-0.6955016207736864,-2.4749500208876785
51,65.33825452479039,27.12087181608531,4.558505781823086,-2.0329526644660483,0.32690349565126975,0.5193124642532759,0.0029757051797957537,6.5180298149747164e-06,0.030959428004712422,0.0010793323269483828,0.19488014461457445,0.04232860277735513,0.0038862388131686966,-19.24320103993008,-10.835471815638552,65.33825452479039,14.764961655672604,-13.116297541429134,0.30474591790314864,-1.36449712769805
52,67.62008890389649,27.97118398703193,4.597326693355087,-2.093376760340129,0.3356619513138228,0.5348647961348484,0.0029846369179493014,6.466099826589327e-06,0.031386699281899036,0.0010765132024026368,0.19267610110924105,0.042769828118207114,0.0039311197977606955,-19.000805191266213,-11.545857168949581,67.62008890389649,14.465205304160511,-14.09892950992374,1.3503035976471844,-0.2253858436371714
53,69.84910529387653,28.812101333872366,4.637988840162031,-2.158092067658189,0.34533938738857284,0.5517534552341943,0.002997511453907697,6.421321537273981e-06,0.031804080441784,0.0010731896252032475,0.19025876988801815,0.04323288679124359,0.003977298402993194,-18.651406897659818,-12.158409604738207,69.84910529387653,14.111810709813465,-15.176651855542511,2.447599031382919,0.946659974446562
54,72.00724079309298,29.637435620101698,4.681006804448383,-2.2282200810342636,0.35617580265511567,0.5703416808942406,0.0030152463070215194,6.385102420345649e-06,0.03220818922353231,0.0010692895020953106,0.1875783533611856,0.04372216730839544,0.004025181408067775,-18.17010586783212,-12.653875345743181,72.00724079309298,13.69711222653882,-16.371665911196786,3.607031536482075,2.161964671770944
55,74.09113519330637,30.444578258773277,4.728433196915129,-2.3072070486210268,0.3687747955367208,0.5916307183602862,0.003040900689268135,6.362652215294594e-06,0.03259839643140601,0.0010645909868175632,0.18444158155601723,0.04424609596958197,0.0040754896509229725,-17.47387903608767,-12.96098684996192,74.09113519330637,13.197521032773851,-17.770137514036012,4.848568648298501,3.43882362748662
56,76.07106796100796,31.224333200140308,4.783699052710925,-2.401255002716367,0.38428688573586145,0.617477422178481,0.0030799634444340055,6.362889248021133e-06,0.03296913692429441,0.001058637953993437,0.18052205293954762,0.04482093277887129,0.004129830917494233,-16.41376626444101,-12.957744319346675,76.07106796100796,12.564537505144857,-19.5175867411736,6.210741182159452,4.818043591224175
57,77.87254546437939,31.95853890889336,4.858909852255699,-2.532004405384834,0.40667898624404947,0.6543199777976954,0.003151967800806516,6.417919675768139e-06,0.03330646184179784,0.0010498083644957452,0.17467775773727293,0.04550164979917006,0.004193690612931476,-14.459660941338004,-12.204945963841707,77.87254546437939,11.625690891513862,-22.12315749564292,7.823814689976438,6.438848043946099
58,50.3462416070084,23.44299334926434,5.52554782208981,-4.014032256149366,0.8111213477149412,1.2450375436061865,0.0044641485157773855,8.218869943299806e-06,0.022494389760032655,0.0009258865360878637,0.11137338007548017,0.04711057659012474,0.004449607623370766,21.15123052656498,12.43146802110775,20.130873831325637,-1.5508660691593734,-50.3462416070084,11.636437417357204,12.934203638851937
59,49.99946413937235,22.901543019210784,5.523403900926947,-4.028421299563943,0.8224090339259609,1.2579261500867935,0.00440609434224616,8.041157173179558e-06,0.022166214698058413,0.0009252660151552596,0.11215120193538781,0.047505842877421184,0.00448272577531199,19.575715165538533,10.000415118633521,18.378260962731076,-1.6168458042778333,-49.99946413937235,12.573087387253977,13.774765870862682
60,49.63640642923759,22.440909772357216,5.520786841745328,-4.0408847961209915,0.8329240133367608,1.269777334139366,0.0043481612634376195,7.867178114091521e-06,0.02186645456216724,0.000924796869957919,0.11296554037922008,0.0478965379057742,0.004514635316379962,18.003486159034487,7.620438168864974,16.777397483056422,-1.6667298198302594,-49.63640642923759,13.498904989986249,14.584652699999022
61,49.264754845305006,22.05851988963029,5.517872944197008,-4.051898149775611,0.842833504143305,1.2808265400874632,0.004290750774820337,7.697190701283203e-06,0.021588834115568424,0.0009244296303025219,0.11379915488198088,0.048281183749378856,0.004545329237355119,16.445439576011257,5.295065642106644,15.294770605904361,-1.7057782610914063,-49.264754845305006,14.410388031703448,15.363686227287277
62,48.883694283743026,21.751691944510597,5.514665290591566,-4.061562190517165,0.8521647567647513,1.2911109277607267,0.004233941145174197,7.531381764712535e-06,0.021332249325778443,0.0009241612008649702,0.11465387372156438,0.0486613056133076,0.004574969333816809,14.903699530162973,3.0268533114252927,13.924484266149362,-1.7343202525973656,-48.883694283743026,15.311150742435075,16.115972939512922
63,48.498265786516804,21.516995900652258,5.511277686794986,-4.070198487313831,0.8610415087365949,1.300801222014915,0.00417797289060832,7.369862459745053e-06,0.02109216847104491,0.000923961637235432,0.11551838984084281,0.04903600589732063,0.004603565428570175,13.384793318347722,0.817321746073385,12.642336887314709,-1.7555397711089382,-48.498265786516804,16.199066107394856,16.841762146451124
64,48.10971282847862,21.350757076335807,5.507745302240455,-4.077937016176501,0.8695079280739629,1.3099590472817393,0.004122919208820262,7.212635560988405e-06,0.02086688117321803,0.0009238201527472674,0.11638991412572244,0.04940544935768788,0.0046311782933249985,11.890707431628611,-1.3334910982187864,11.4391942264221,-1.7705837584459871,-48.10971282847862,17.07452454428409,17.54259627728423
65,47.71938735607839,21.248918126580936,5.504103686389111,-4.084905806015813,0.8776120942702841,1.3186501739054204,0.00406884659869744,7.059686994737583e-06,0.020654590864024432,0.00092372598214041,0.11726541416031616,0.049769689220693344,0.004657862449296788,10.42324656400504,-3.4257777451588867,10.305461743727173,-1.7805968802762528,-47.71938735607839,17.937652181737775,18.219859119207804
66,47.32825812766567,21.20715403670108,5.500379223408426,-4.091206328396687,0.8853929189048098,1.3269274776510191,0.004015796194018973,6.910973438771703e-06,0.02045384641682124,0.0009236709608785718,0.1181427170196459,0.050128834749805874,0.004683669595361486,8.983527033166517,-5.460130828640109,9.233389724145024,-1.7864472683795762,-47.32825812766567,18.788707937928617,18.87486282643367
67,46.93749391198592,21.220959990256663,5.496599232429949,-4.096921046078212,0.892876898581941,1.3348294906936191,0.003963787864345007,6.766380401733176e-06,0.02026356111190202,0.000923648638097329,0.11901920115541559,0.05048265910907885,0.00470861972690657,7.572088073337246,-7.43811655320129,8.217174561117059,-1.7888208405124728,-46.93749391198592,19.627154286916703,19.508114896105845
68,46.547138793862985,21.285741114380038,5.492771765158886,-4.102120391051768,0.9000993472470772,1.3424003108535818,0.003912838459316923,6.625890767380946e-06,0.02008254930247089,0.0009236534270828657,0.11989476768536533,0.05083174898777886,0.004732788760467318,6.189386962042831,-9.359969063453821,7.250484329787166,-1.7883116296533497,-46.547138793862985,20.454381487627636,20.121542143840564
