name,design_phase,x,y,z,center_energy_excess_fraction,Z0_inferred,ZF_from_c_d1,ZF_from_a_d0,ZF_from_a_d1,lambda0,lambdaF_c_d1,lambdaF_a_d0,lambdaF_a_d1
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,0.0551021033036936,0.9923259255904244,0.9781169094841341,0.9542701947028117,1.0363952859855423,-2.9359515276455808,3.01160147460264,6.371139466808926,-4.865779040357039
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,0.0504846407392722,0.9850884046226899,0.9713277646599,0.9317189002000196,1.0700888618360265,-6.249459347638307,4.321806618637631,10.506777603280064,-10.0637083593731
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,0.0440977657378885,0.9738404756297081,0.9634868740362432,0.9010809367008664,1.1254994721647968,-12.62338786670368,6.326241331458865,17.715216486935507,-20.10763647678658
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,0.0631927859967353,1.005155509306712,0.9924379848018163,0.9900453391985206,0.982167773918788,1.7088591182002397,0.9009041238027555,1.187383129356003,2.13550515289778
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,0.0636034395566612,1.0064980222276674,0.9932474876630105,0.9889070377002074,0.9760569137432676,2.1385167840438877,0.7989442569889125,1.3153708487003686,2.8576734029528503
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,0.0642307895353209,1.008536146502379,0.9944973248026329,0.9872569688628801,0.9666493225049445,2.7790147565990924,0.6443020618272344,1.4975201227112995,3.960658235516897
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,0.0619958601362584,1.0011984701666443,0.9900708105500401,0.9933283173966146,1.0009273481654863,0.40571747872278685,1.2071950346317544,0.8098167058522318,-0.11213471856664659
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,0.0616081722090375,0.9999733846898653,0.989381022678103,0.9944569057606851,1.0073418118078026,-0.009072318344374754,1.2996361472430147,0.6766773785189815,-0.8905058740204465
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,0.0610368362687228,0.9980975436228537,0.9883013325677259,0.9960825953926958,1.0166690383304808,-0.6551721502266477,1.4459672195847764,0.4823027340514239,-2.031351362124965
axis_x_m1p0pct,phase1_axis,-0.01,0.0,0.0,0.0612927230057291,1.0067945536373346,0.9974012435654107,0.9926816462748721,0.9966110919761609,2.3200644619857727,0.31840717823138537,0.8987931873995947,0.415383329303743
axis_x_m2p0pct,phase1_axis,-0.02,0.0,0.0,0.0600167286553049,1.0105400548213714,1.0037109190523918,0.9936957916800762,1.001804158884206,3.6686906211351813,-0.46287726717156186,0.7903001249703923,-0.2252538648157261
axis_x_p1p0pct,phase1_axis,0.01,0.0,0.0,0.0639022620247869,0.9994569714896748,0.9850383442043313,0.9907195004287013,0.9863569552276349,-0.17850222693791598,1.7692695802758918,1.0943077071520946,1.6122629193608395
axis_x_p2p0pct,phase1_axis,0.02,0.0,0.0,0.0652360132601985,0.9958329427613171,0.978951322211688,0.9897703727200488,0.9812939692650785,-1.3442120627808987,2.4457380104068753,1.18212805215299,2.170948281127716
axis_y_m1p0pct,phase1_axis,0.0,-0.01,0.0,0.0652359852349565,1.0067870052024233,0.996439512889797,1.0051598212995405,0.9778978135630526,2.177412052158282,0.4100697702417071,-0.5916851356516609,2.5695288537980807
axis_y_m2p0pct,phase1_axis,0.0,-0.02,0.0,0.0679619132783456,1.0104095467471461,1.0020565658166658,1.0191921265180908,0.9647530939090949,3.1998885824532928,-0.22672117525193702,-2.0978971599730567,3.9599096631178354
axis_y_p1p0pct,phase1_axis,0.0,0.01,0.0,0.0600167549161464,0.9995700765362597,0.9864788219456665,0.978708438573812,1.0058568416819234,-0.15046355082897922,1.701202644100601,2.6894360237842547,-0.7297658464288779
axis_y_p2p0pct,phase1_axis,0.0,0.02,0.0,0.0575218009837374,0.9960043312818603,0.982157970712082,0.966261944857374,1.0211290188361397,-1.4616567266861635,2.347342696829226,4.474866462690677,-2.72621371495144
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.0627880513404813,1.003783840589094,0.9915933303091379,0.9911222396928753,0.9883415026965023,1.263149526201062,1.008416990297443,1.0651790699766783,1.4007828963568474
axis_z_m2p0pct,phase1_axis,0.0,0.0,-0.02,0.0629896864105271,1.0044833052603306,0.9920328963061644,0.9906139583102531,0.985251145947245,1.4913392054295114,0.9524190908027396,1.1228466953760152,1.769182462805842
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.0623891151344083,1.0024552550432657,0.9908000794126263,0.9922566856057253,0.9946022234033958,0.8254190222444212,1.1110713620097616,0.9344718426909459,0.6506420091120989
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.0621917846894721,1.0018442562037044,0.9904564658560302,0.9928230130790922,0.9977612496947055,0.6221675558960089,1.156426714029734,0.8686274346496031,0.270284097543875
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.0645666700454716,1.014173781152261,1.0085086091122497,1.0135264834292985,0.9788231577625042,4.5775896127063325,-0.9841705001924125,-1.5606911303121542,2.4863007885377426
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.0569098388902539,1.0033494306898398,0.993711479613518,0.9739755118002181,1.0214799268855972,1.2338905192492498,0.8313645594018384,3.475117579678319,-2.8008097814381028
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.060946315733619,1.0096788655250835,1.0011572431839917,0.9923540136015061,0.9942667886382403,3.318967361960088,-0.14232699060554518,0.9445238876302223,0.7075541691685652
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.0603615321313231,1.0077189641113315,1.0000092088644676,0.9940164061329393,1.0041844152746073,2.6751446863775583,-0.0011442082905897782,0.7457026543981493,-0.5188343644479517
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,0.0686556637724513,1.0030955134263075,0.9900270599884873,1.0107159461362043,0.9637172768931155,0.9453754053588906,1.0949209090635181,-1.1643908936892826,4.037246155754864
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.0606523783970994,0.9923058939382338,0.9749802561007609,0.9708977072533543,1.0053836921020518,-2.674273141625204,3.133190199463534,3.6520617395348505,-0.6639375048102615
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.0648744393735542,0.9986552336160454,0.9826116934756064,0.9894308706879251,0.9794130751750257,-0.435596816570558,2.0279087121244266,1.2283781588182958,2.4048519511286166
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.0642622714920465,0.9966266364489099,0.981362448912576,0.9910522939108539,0.9886743125245601,-1.1042309573966123,2.1956995601697176,1.0489798685952563,1.329354442373775
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,0.0669038686927718,1.0095891113308895,0.9998259089382033,1.0112829272169694,0.9667839818740929,2.995521541979182,0.019517505579991733,-1.257746747661175,3.7867987838259443
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,0.0662778269868273,1.0076100496413376,0.9985701921162511,1.0129127632024957,0.9757049394199736,2.4021008572447067,0.1619128635638286,-1.4518548135074454,2.783176768386381
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.0590470109299652,0.998758133540285,0.9848041686322174,0.9715835470556217,1.00825326120071,-0.4419428198216817,1.9449508416608374,3.6616606932740536,-1.0440057615886438
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.0584757276808557,0.996827329450042,0.9837357437413099,0.9732360541408025,1.0181190864213063,-1.1411913896844528,2.1031766198764785,3.479472103362217,-2.303121239308444
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.0654241510001976,1.0169187202107628,1.011828010625757,1.0166517059663593,0.9705953286776495,5.385183333783232,-1.3479662633554548,-1.8931754727656598,3.4214033792064904
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.0583670730524581,1.0038106913194547,0.9939920408111866,0.980108157353386,1.0136332272035367,1.3684501451826383,0.7743337906132017,2.5818086778411677,-1.7399961343105748
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.0580031987872481,0.998055139917617,0.9848343846167037,0.9696749013238212,1.016874018087901,-0.704820254789161,1.9759844773074233,3.981817069496774,-2.1636608484432616
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.0637979432508916,0.9992866778046888,0.9839891630662072,0.9872748558666713,0.9843669036888333,-0.2348839254032933,1.8974430419120385,1.505550368233636,1.8523224679878765
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.0623039760610427,0.9915459850035603,0.9740379832193619,0.9781613755177848,1.0001436546471052,-2.861599235844848,3.166528922134481,2.658010569306956,-0.01729155250345332
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.0663189059378622,1.0038222793130596,0.9920209980008806,1.0062239503402768,0.9754979149594347,1.2080243351836535,0.9059638954083978,-0.701684700674791,2.8054507207420287
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.0633364077109081,1.009874568705618,1.0011607764056476,1.0013511055408637,0.9838326068747819,3.2579809308961902,-0.13737397661959136,-0.15988358843043343,1.930111600281142
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.0631451329947602,1.0011276340850723,0.988546217205738,0.992988339148175,0.9914985460353648,0.37480282845169977,1.3682625284587564,0.8357363891801377,1.0140683510818846
