scale_ratio_Lambda_over_M,log_interval,sign,N_eff,mismatch_pct,below_1pct_flavor_window
6.348565216305219,1.8482288371858562,suppression,20.72561295034425,-1.3066049983607164,True
6.348565216305219,1.8482288371858562,enhancement,21.278382065300846,1.3256288823849882,False
6.447102107323871,1.863630744162405,suppression,20.723343006470984,-1.3174142549000734,True
6.447102107323871,1.863630744162405,enhancement,21.28071887153189,1.3367565311042329,False
6.547168402004738,1.8790326511389537,suppression,20.721073335814538,-1.3282222104069596,True
6.547168402004738,1.8790326511389537,enhancement,21.283055959464857,1.3478855212612162,False
6.648787838417265,1.8944345581155024,suppression,20.718803938340386,-1.3390288650457771,True
6.648787838417265,1.8944345581155024,enhancement,21.285393329135367,1.359015853025558,False
6.751984523072503,1.9098364650920512,suppression,20.716534814014025,-1.3498342189808277,True
6.751984523072503,1.9098364650920512,enhancement,21.28773098057904,1.3701475265668561,False
6.85678293664174,1.9252383720686002,suppression,20.714265962800944,-1.3606382723764576,True
6.85678293664174,1.9252383720686002,enhancement,21.290068913831497,1.3812805420547525,False
6.963207939763885,1.940640279045149,suppression,20.711997384666645,-1.3714410253969245,True
6.963207939763885,1.940640279045149,enhancement,21.292407128928375,1.3924148996589336,False
7.0712847789429985,1.9560421860216977,suppression,20.70972907957663,-1.3822424782065301,True
7.0712847789429985,1.9560421860216977,enhancement,21.294745625905293,1.4035505995490194,False
7.181039092537351,1.9714440929982464,suppression,20.707461047496405,-1.3930426309694988,True
7.181039092537351,1.9714440929982464,enhancement,21.297084404797907,1.4146876418947851,False
7.292496916841446,1.9868459999747952,suppression,20.70519328839148,-1.403841483850088,True
7.292496916841446,1.9868459999747952,enhancement,21.29942346564186,1.425826026865984,False
7.405684692262437,2.002247906951344,suppression,20.702925802227377,-1.4146390370124884,True
7.405684692262437,2.002247906951344,enhancement,21.301762808472787,1.4369657546323245,False
7.520629269592409,2.0176498139278927,suppression,20.700658588969613,-1.4254352906208911,True
7.520629269592409,2.0176498139278927,enhancement,21.30410243332635,1.4481068253635598,False
7.637357916378021,2.0330517209044414,suppression,20.698391648583712,-1.4362302448394648,True
7.637357916378021,2.0330517209044414,enhancement,21.306442340238203,1.459249239229532,False
7.755898323389004,2.0484536278809906,suppression,20.696124981035204,-1.447023899832356,True
7.755898323389004,2.0484536278809906,enhancement,21.308782529244006,1.4703929964000384,False
7.876278611187057,2.063855534857539,suppression,20.69385858628963,-1.4578162557636665,True
7.876278611187057,2.063855534857539,enhancement,21.311123000379432,1.481538097044921,False
7.99852733679671,2.079257441834088,suppression,20.691592464312517,-1.4686073127975319,True
7.99852733679671,2.079257441834088,enhancement,21.313463753680146,1.4926845413340217,False
8.122673500479713,2.094659348810637,suppression,20.689326615069415,-1.4793970710980209,True
8.122673500479713,2.094659348810637,enhancement,21.31580478918183,1.5038323294372713,False
8.248746552614584,2.1100612557871856,suppression,20.687061038525872,-1.49018553082918,True
8.248746552614584,2.1100612557871856,enhancement,21.318146106920153,1.5149814615245338,False
8.376776400682918,2.1254631627637344,suppression,20.684795734647437,-1.500972692155056,True
8.376776400682918,2.1254631627637344,enhancement,21.320487706930813,1.5261319377657845,False
8.506793416364156,2.140865069740283,suppression,20.682530703399667,-1.511758555239684,True
8.506793416364156,2.140865069740283,enhancement,21.322829589249494,1.5372837583309318,False
8.638828442740447,2.156266976716832,suppression,20.680265944748125,-1.5225431202470219,True
8.638828442740447,2.156266976716832,enhancement,21.325171753911885,1.5484369233899287,False
8.77291280161336,2.171668883693381,suppression,20.678001458658375,-1.5333263873410719,True
8.77291280161336,2.171668883693381,enhancement,21.327514200953694,1.559591433112817,False
8.909078300934137,2.18707079066993,suppression,20.675737245095984,-1.5441083566857916,True
8.909078300934137,2.18707079066993,enhancement,21.329856930410617,1.570747287669616,False
9.047357242349298,2.2024726976464786,suppression,20.673473304026526,-1.5548890284451167,True
9.047357242349298,2.2024726976464786,enhancement,21.33219994231837,1.5819044872303234,False
9.187782428863335,2.2178746046230273,suppression,20.671209635415586,-1.565668402782927,True
9.187782428863335,2.2178746046230273,enhancement,21.334543236712655,1.5930630319650252,False
9.330387172620366,2.233276511599576,suppression,20.66894623922874,-1.5764464798631361,True
9.330387172620366,2.233276511599576,enhancement,21.336886813629192,1.6042229220437632,False
9.475205302806543,2.248678418576125,suppression,20.66668311543158,-1.5872232598496128,True
9.475205302806543,2.248678418576125,enhancement,21.33923067310371,1.6153841576367123,False
9.62227117367514,2.2640803255526736,suppression,20.664420263989697,-1.5979987429062037,True
9.62227117367514,2.2640803255526736,enhancement,21.341574815171928,1.6265467389139365,False
9.771619672696177,2.2794822325292228,suppression,20.662157684868685,-1.6087729291967334,True
9.771619672696177,2.2794822325292228,enhancement,21.343919239869585,1.637710666045633,False
9.92328622883255,2.294884139505771,suppression,20.659895378034147,-1.6195458188850154,True
9.92328622883255,2.294884139505771,enhancement,21.34626394723241,1.6488759392019547,False
10.077306820944612,2.31028604648232,suppression,20.65763334345169,-1.6303174121348185,True
10.077306820944612,2.31028604648232,enhancement,21.34860893729614,1.6600425585530543,False
10.233717986325198,2.325687953458869,suppression,20.655371581086918,-1.6410877091099119,True
