sign,sign_numeric,c_g,N_eff,k_weighted_over_k0,mismatch_pct,max_flavor_error_pct_interp,rms_flavor_error_pct_interp
suppression,-1,0.86,20.65656230875892,0.9836458242266153,-1.6354175773384716,0.8414132297991597,0.4456049203860571
suppression,-1,0.87,20.65260532492885,0.9834573964251833,-1.6542603574816739,0.8451202139631917,0.4496056811064364
suppression,-1,0.88,20.648649174238148,0.9832690082970547,-1.6730991702945341,0.8488273154119325,0.453634232132876
suppression,-1,0.89,20.644693856502695,0.9830806598334616,-1.69193401665384,0.8525353675304918,0.45771714688006604
suppression,-1,0.9,20.640739371538395,0.9828923510256379,-1.7107648974362122,0.8562426389383608,0.4617992019912292
suppression,-1,0.91,20.63678571916121,0.9827040818648195,-1.72959181351805,0.859947858702016,0.46594422921821754
suppression,-1,0.92,20.632832899187136,0.9825158523422446,-1.7484147657755411,0.8636520060404187,0.47010306364447907
suppression,-1,0.93,20.628880911432212,0.9823276624491529,-1.7672337550847073,0.8673579510305843,0.4742818608185833
suppression,-1,0.9400000000000001,20.62492975571251,0.9821395121767862,-1.786048782321381,0.8710696392246928,0.4785125179908867
suppression,-1,0.9500000000000001,20.620979431844166,0.9819514015163888,-1.8048598483611178,0.8747805459834251,0.4827422844673648
suppression,-1,0.96,20.617029939643334,0.9817633304592064,-1.8236669540793615,0.878484988274143,0.4870229872789678
suppression,-1,0.97,20.613081278926224,0.9815752989964869,-1.8424701003513122,0.8821867769247467,0.4913198761277343
suppression,-1,0.98,20.609133449509077,0.9813873071194799,-1.8612692880520143,0.8858934649460422,0.4956300671047358
suppression,-1,0.99,20.605186451208183,0.9811993548194373,-1.880064518056268,0.8896195606700084,0.4999898563477959
suppression,-1,1.0,20.601240283839875,0.981011442087613,-1.898855791238696,0.8933448719663879,0.5043487277564235
suppression,-1,1.01,20.597294947220515,0.9808235689152627,-1.9176431084737322,0.8970456716525776,0.5087482052026644
suppression,-1,1.02,20.59335044116653,0.9806357352936442,-1.9364264706355772,0.9007348154000846,0.5131657913360138
suppression,-1,1.03,20.58940676549436,0.9804479412140171,-1.9552058785982873,0.9044255382583652,0.5175910217928806
suppression,-1,1.04,20.585463920020505,0.9802601866676431,-1.973981333235686,0.9081287859723334,0.5220637359793556
suppression,-1,1.05,20.581521904561505,0.9800724716457859,-1.9927528354214075,0.911831254109563,0.5265355086074454
suppression,-1,1.06,20.577580718933937,0.9798847961397114,-2.0115203860288644,0.9155379273397557,0.5310392111342309
suppression,-1,1.07,20.573640362954418,0.9796971601406865,-2.030283985931347,0.91924695524147,0.5355626396635889
suppression,-1,1.08,20.569700836439612,0.9795095636399815,-2.049043636001846,0.9229552874044139,0.5400889366831504
suppression,-1,1.09,20.56576213920622,0.9793220066288677,-2.0677993371132297,0.926663873422941,0.5446607631274206
suppression,-1,1.1,20.56182427107099,0.9791344890986186,-2.0865510901381445,0.9303716787818596,0.5492316271994486
suppression,-1,1.11,20.557887231850703,0.9789470110405096,-2.105298895949037,0.9340771818554605,0.5538269283553042
suppression,-1,1.12,20.553951021362188,0.9787595724458185,-2.124042755418154,0.9377805912136701,0.5584431885950651
suppression,-1,1.1300000000000001,20.550015639422313,0.9785721733058244,-2.1427826694175645,0.9414832210264783,0.5630584771398032
suppression,-1,1.1400000000000001,20.546081085847987,0.978384813611809,-2.1615186388191043,0.9451837835840022,0.5677172347656227
suppression,-1,1.1500000000000001,20.542147360456163,0.9781974933550553,-2.1802506644944653,0.948883562073156,0.5723751890855581
suppression,-1,1.16,20.538214463063834,0.9780102125268493,-2.1989787473150724,0.9525848493323584,0.5770512515729768
suppression,-1,1.17,20.534282393488027,0.9778229711184775,-2.217702888152251,0.9562881080205243,0.5817492817348989
suppression,-1,1.18,20.53035115154583,0.97763576912123,-2.236423087877004,0.9599905872358715,0.5864463230415665
suppression,-1,1.19,20.526420737054345,0.9774486065263973,-2.2551393473602688,0.9636900183125807,0.5911784869943094
suppression,-1,1.2,20.52249114983074,0.9772614833252733,-2.2738516674726705,0.9673884481959101,0.5959131969600967
suppression,-1,1.21,20.51856238969221,0.9770743995091529,-2.292560049084713,0.971090227768046,0.6006606318356127
suppression,-1,1.22,20.514634456455997,0.9768873550693332,-2.311264493066678,0.9747983800819403,0.6054308395903115
