name,design_phase,x,y,z,Gmax_y,max_error_pct,rms_error_pct,a_d0_fit,h_d0_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.7583609160422354,1.2661778292632375,0.7054991080383956,0.25613026307823905,2.6687227445287953,0.1173147583081624,-0.3374891343926656,0.8904645787301213,-0.2725073951629797,-0.9254884762757376,-0.17180980857423034,-1.2661778292632375
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.7589288774688128,2.0837298600891008,1.1367254926300108,0.2545371255304184,2.674260381492156,0.07456204295526181,-0.23128560436728174,1.1531660283168987,-1.2352037200719423,-1.2995095513921417,-0.31588932745076903,-2.0837298600891008
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.7406362620249726,5.646236269470917,3.5745373775459957,0.2719441343020799,2.5773526177315143,-1.3665843003697442,-4.40601643828753,-1.912611214887494,5.646236269470917,1.8032290250732164,1.0435143789513157,5.318088556416667
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.7646021561522199,8.811979478607125,5.191673182959967,0.24322023679988805,2.716773725617764,0.5985574320971132,-0.9533855485437837,3.8992063419348577,-7.826316519780385,-5.652852158096078,-1.160309376637081,-8.811979478607125
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,0.7509508035461269,9.764626334234272,5.323414975366525,0.2742258147356067,2.6074075235264536,-0.4066876115718654,-0.20881319571510737,-2.0822106049911304,9.764626334234272,4.5345346600631276,1.35525452816736,8.722384041384235
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.7754965423511495,6.106521592184599,3.6709498390715196,0.24438448996175313,2.750915144275762,1.5936799942989133,3.3901136588744496,3.5218492751331487,-4.37351631022559,-3.1822211626522767,-1.1624189374424998,-6.106521592184599
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.7516923537812006,2.739120113046245,1.18535715324282,0.2594791424001001,2.6386687078194293,-0.277198091356301,-2.739120113046245,0.3567605849138511,0.3481070839095546,-1.2497309457913386,0.12728925101583854,-0.6552836351936708
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.7533608067146302,3.2154065651518238,2.0919778958421484,0.2544513012500518,2.6555878256105956,-0.3934536462319782,-2.411264869453067,1.1749780710266666,-2.64452891350595,-2.4215378513546715,-0.2980016575891642,-3.2154065651518238
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.7623238581731847,3.9805665386507982,1.9146074733716496,0.26100670120544495,2.671290752171527,0.7027032544556944,1.5328966775483455,0.1945899363952064,3.9805665386507982,1.2589308992060566,0.287795704945637,2.2947722682303384
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.7639401116039056,1.871214637063856,0.9113309079496142,0.25604290199903845,2.6878449217117524,0.5813241437027106,1.871214637063856,0.9169811479076362,1.0106756193094757,0.1318781327526164,-0.18207725713614842,-0.2478358043686013
