n_fixed,fixed,n_fitted,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1
3,c_u0+c_u1+a_d0,4,0.9087596730494862,0.47895732177011496,2.7799086717372856,2.90522583575971,-0.03157854169304032,0.2635365830624751,0.24166386429114275,2.6498285390926926,-0.6536376193250505
3,c_u0+c_u1+a_d1,4,0.9241228728563033,0.42579476242723097,2.787628798391693,2.90522583575971,-0.03157854169304032,0.2580949133968081,0.24395430601509957,2.6629691982667625,-0.6630031689898263
3,c_u0+c_u1+c_d0,4,0.5904077491212911,0.3124019146824403,2.7825756666610144,2.90522583575971,-0.03157854169304032,0.2618669418219484,0.24174793378668916,2.6525975022153876,-0.654570649344539
3,c_u0+c_u1+c_d1,4,0.6964068142172319,0.3709598455762233,2.7995132450508065,2.90522583575971,-0.03157854169304032,0.25716641363727205,0.24351255787984116,2.6653370089697104,-0.6631493755538469
3,c_u0+a_d0+a_d1,4,1.0307804736794157,0.7407553390278431,2.7585537729540963,2.90522583575971,-0.031673582454575175,0.2635365830624751,0.24395430601509957,2.651069935978062,-0.6589005968883686
3,c_u0+a_d0+c_d0,4,1.3056203707550118,0.5933046022776074,2.7872957032338674,2.90522583575971,-0.03160289241384316,0.2635365830624751,0.24218552951320865,2.6525975022153876,-0.6561618256913696
3,c_u0+a_d0+c_d1,4,1.5018264867582065,1.0315879716508773,2.7707535865352586,2.90522583575971,-0.03164269844002681,0.2635365830624751,0.2448502061386551,2.6544210875779997,-0.6631493755538469
3,c_u0+a_d1+c_d0,4,1.018625442341592,0.647388619880715,2.7581191936745277,2.90522583575971,-0.03167502104509398,0.2622035065563891,0.24395430601509957,2.6525975022153876,-0.6591513657357497
3,c_u0+a_d1+c_d1,4,0.8956035163089293,0.4217694663608981,2.78789458818199,2.90522583575971,-0.03160239487920012,0.25794939823896845,0.24395430601509957,2.6633247331766317,-0.6631493755538469
3,c_u0+c_d0+c_d1,4,1.4733946134976472,1.0594413952004933,2.7528405852008517,2.90522583575971,-0.03168838358141226,0.26298369575540764,0.24535854655577363,2.6525975022153876,-0.6631493755538469
3,c_u1+a_d0+a_d1,4,0.9809088590267745,0.6335327731793877,2.787472165446246,2.9912246164534366,-0.03157854169304032,0.2635365830624751,0.24395430601509957,2.72330891376605,-0.6749964525971021
3,c_u1+a_d0+c_d0,4,0.8894768960792332,0.4669489591252503,2.7802771844326966,2.908687079286633,-0.03157854169304032,0.2635365830624751,0.24165352335457838,2.6525975022153876,-0.6541821448363377
3,c_u1+a_d0+c_d1,4,0.5243120168691551,0.34928213359565874,2.7914380911244585,2.9563515190081633,-0.03157854169304032,0.2635365830624751,0.24179002817219977,2.6924421748043605,-0.6631493755538469
3,c_u1+a_d1+c_d0,4,0.9086179806273575,0.41848634741954277,2.786542511175873,2.891677491747343,-0.03157854169304032,0.2576441948944539,0.24395430601509957,2.6525975022153876,-0.6608434327571624
3,c_u1+a_d1+c_d1,4,0.916101357481236,0.4261973187221492,2.788354851713135,2.905519288531791,-0.03157854169304032,0.25801867043862226,0.24395430601509957,2.6634257942484423,-0.6631493755538469
