wall_scale,width_dimless,p_dimless,m_over_p,modulus_mass_dimless,locking_response_m2_over_m2_plus_p2,max_error_pct,rms_error_pct,below_1pct
action_FWHM,1.7517900037359464,0.5708446776539168,1.2400000000000002,0.7078474002908569,0.6059268600252208,1.2815201855743696,0.6948854815537664,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.2500000000000002,0.713555847067396,0.6097560975609757,1.270704953443924,0.6899707018947809,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.26,0.7192642938439352,0.613541505642294,1.260014168468171,0.6851250247837397,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.27,0.7249727406204743,0.6172834781277509,1.2494466957701178,0.680347765794453,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.28,0.7306811873970135,0.6209824135839903,1.2390013877055628,0.6756382340924098,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.29,0.7363896341735526,0.6246387147629593,1.2286770853091378,0.6709957330741543,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.3,0.7420980809500919,0.6282527881040892,1.2184726197645102,0.6664195603971821,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.31,0.747806527726631,0.6318250432605574,1.208386813631246,0.6619090076481636,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.32,0.7535149745031702,0.6353558926487749,1.1984184822332988,0.6574633627839903,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.33,0.7592234212797093,0.6388457510202608,1.1885664347816682,0.6530819133245853,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.34,0.7649318680562486,0.6422950350550866,1.1788294755194606,0.6487639396188647,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.35,0.7706403148327877,0.645704162976085,1.1692064048566708,0.6445087231206611,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.36,0.7763487616093269,0.6490735541830432,1.1596960203170692,0.6403155406814807,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.37,0.782057208385866,0.6524036289061143,1.1502971176076127,0.6361836705039814,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.3800000000000001,0.7877656551624053,0.6556948078777028,1.1410084914633467,0.6321123914467468,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.3900000000000001,0.7934741019389444,0.6589475120221003,1.1318289365289003,0.628100977208007,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.4000000000000001,0.7991825487154836,0.6621621621621622,1.1227572481662396,0.6241487078577431,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.4100000000000001,0.8048909954920227,0.6653391787423447,1.1137922233122488,0.6202548607385199,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.4200000000000002,0.810599442268562,0.6684789815674315,1.10493266109839,0.6164187143658407,False
action_FWHM,1.7517900037359464,0.5708446776539168,1.4300000000000002,0.8163078890451011,0.6715819895563073,1.0961773635792982,0.6126395510848106,False
