mode,scale_relative_to_radial,lambda0,lambdaF,max_error_pct,rms_error_pct,below_1pct
seed_only,1.045,1.1200885039705555,1.0718550277230197,0.6195620166139948,0.35385249856914464,True
seed_only,1.046,1.1211603589982786,1.0718550277230197,0.6197506406501296,0.3538129418816794,True
seed_only,1.047,1.1222322140260015,1.0718550277230197,0.6199392668076786,0.35377566573707675,True
seed_only,1.048,1.1233040690537246,1.0718550277230197,0.620127894892164,0.35374067089141265,True
seed_only,1.049,1.1243759240814475,1.0718550277230197,0.6203165251208453,0.3537079581438698,True
seed_only,1.05,1.1254477791091706,1.0718550277230197,0.6205051573147657,0.35367752819843096,True
seed_only,1.051,1.1265196341368935,1.0718550277230197,0.6206937915967492,0.3536493817956662,True
seed_only,1.052,1.1275914891646168,1.0718550277230197,0.6208824279094083,0.3536235195026462,True
seed_only,1.053,1.1286633441923397,1.0718550277230197,0.6210710663101637,0.3535999419157172,True
seed_only,1.054,1.1297351992200628,1.0718550277230197,0.621259706663102,0.3535786495847918,True
seed_only,1.055,1.1308070542477857,1.0718550277230197,0.621448349082554,0.35355964294732073,True
seed_only,1.056,1.1318789092755088,1.0718550277230197,0.6216369935504229,0.35354292257836706,True
seed_only,1.057,1.1329507643032317,1.0718550277230197,0.6218256400770117,0.35352848873192916,True
seed_only,1.058,1.1340226193309548,1.0718550277230197,0.6220142886361746,0.35351634190473435,True
seed_only,1.059,1.1350944743586777,1.0718550277230197,0.6222029392795481,0.35350648233391807,True
seed_only,1.06,1.1361663293864008,1.0718550277230197,0.6223915919162604,0.3534989104437162,True
seed_only,1.061,1.1372381844141237,1.0718550277230197,0.6225802465973929,0.3534936263299348,True
seed_only,1.062,1.1383100394418468,1.0718550277230197,0.6227689033100003,0.35349063006040277,True
seed_only,1.063,1.13938189446957,1.0718550277230197,0.6229575621419903,0.35348992208724406,True
seed_only,1.064,1.140453749497293,1.0718550277230197,0.6231462229438267,0.35349150233021015,True
seed_only,1.065,1.141525604525016,1.0718550277230197,0.6233348858149079,0.3534953708118485,True
seed_only,1.066,1.142597459552739,1.0718550277230197,0.6235235507241699,0.3535015276535499,True
seed_only,1.067,1.143669314580462,1.0718550277230197,0.6237122176228294,0.3535099726515355,True
seed_only,1.068,1.144741169608185,1.0718550277230197,0.6239008866624318,0.3535207059781097,True
seed_only,1.069,1.145813024635908,1.0718550277230197,0.6240895576805738,0.3535337272759062,True
seed_only,1.07,1.146884879663631,1.0718550277230197,0.6242782307128159,0.3535490364795948,True
seed_only,1.071,1.147956734691354,1.0718550277230197,0.6244669058101948,0.35356663334175203,True
seed_only,1.072,1.149028589719077,1.0718550277230197,0.6246555830084932,0.35358651767826405,True
seed_only,1.073,1.1501004447468,1.0718550277230197,0.6248442621892281,0.3536086891554446,True
seed_only,1.074,1.1511722997745233,1.0718550277230197,0.6250329434484114,0.3536331474198638,True
seed_only,1.075,1.1522441548022462,1.0718550277230197,0.6252216267344513,0.35365989203958886,True
seed_only,1.076,1.1533160098299693,1.0718550277230197,0.6254103120023724,0.3536889225911571,True
seed_only,1.077,1.1543878648576922,1.0718550277230197,0.6255989993873112,0.35372023866609204,True
seed_only,1.078,1.1554597198854153,1.0718550277230197,0.6257876887765801,0.3537538397097245,True
seed_only,1.079,1.1565315749131382,1.0718550277230197,0.6259763802346829,0.35378972508451345,True
seed_only,1.08,1.1576034299408613,1.0718550277230197,0.6261650736861024,0.3538278942886881,True
seed_only,1.081,1.1586752849685842,1.0718550277230197,0.6263537692177357,0.3538683465759374,True
seed_only,1.082,1.1597471399963073,1.0718550277230197,0.6265424667923125,0.3539110813334002,True
seed_only,1.083,1.1608189950240302,1.0718550277230197,0.626731166436123,0.35395609780777326,True
seed_only,1.084,1.1618908500517533,1.0718550277230197,0.6269198680870058,0.35400339516386714,True
seed_only,1.085,1.1629627050794762,1.0718550277230197,0.627108571781676,0.3540529725623864,True
seed_only,1.086,1.1640345601071995,1.0718550277230197,0.6272972775073438,0.3541048291520206,True
seed_only,1.087,1.1651064151349224,1.0718550277230197,0.627485985275622,0.3541589641501066,True
seed_only,1.088,1.1661782701626455,1.0718550277230197,0.6276746950605316,0.3542153763643448,True
seed_only,1.089,1.1672501251903684,1.0718550277230197,0.6278634069695976,0.3542740649479129,True
seed_only,1.09,1.1683219802180915,1.0718550277230197,0.6280521208735013,0.354335028769044,True
seed_only,1.091,1.1693938352458144,1.0718550277230197,0.6282408368042947,0.35439826680850206,True
seed_only,1.092,1.1704656902735375,1.0718550277230197,0.6284295547638541,0.35446377792421496,True
seed_only,1.093,1.1715375453012604,1.0718550277230197,0.6286182747913371,0.3545315608729237,True
seed_only,1.094,1.1726094003289835,1.0718550277230197,0.6288069968461429,0.35460161450941,True
seed_only,1.095,1.1736812553567064,1.0718550277230197,0.6289957209842378,0.35467393752083176,True
seed_only,1.096,1.1747531103844295,1.0718550277230197,0.6291844471033925,0.35474852868085466,True
seed_only,1.097,1.1758249654121526,1.0718550277230197,0.6293731753037934,0.35482538658416585,True
seed_only,1.098,1.1768968204398758,1.0718550277230197,0.6295619055422641,0.3549045098323686,True
seed_only,1.099,1.1779686754675986,1.0718550277230197,0.6297506377629047,0.3549858970288704,True
seed_only,1.1,1.1790405304953218,1.0718550277230197,0.6299393721371671,0.3550695467372574,True
seed_only,1.101,1.1801123855230446,1.0718550277230197,0.6301281084648114,0.3551554573298156,True
seed_only,1.102,1.1811842405507678,1.0718550277230197,0.6303168468831943,0.35524362734664705,True
seed_only,1.103,1.1822560955784907,1.0718550277230197,0.6305055873125021,0.3553340551707718,True
seed_only,1.104,1.1833279506062138,1.0718550277230197,0.6306943297680334,0.3554267391404027,True
seed_only,1.105,1.1843998056339367,1.0718550277230197,0.6308830743073424,0.35552167763131737,True
seed_only,1.106,1.1854716606616598,1.0718550277230197,0.6310718208769273,0.35561886881567556,True
seed_only,1.107,1.1865435156893827,1.0718550277230197,0.6312605694570594,0.3557183110548086,True
seed_only,1.108,1.187615370717106,1.0718550277230197,0.6314493200581084,0.3558200024690606,True
seed_only,1.109,1.1886872257448289,1.0718550277230197,0.6316380727382942,0.3559239412210226,True
seed_only,1.11,1.189759080772552,1.0718550277230197,0.6318268274861039,0.35603012549642965,True
seed_only,1.111,1.1908309358002749,1.0718550277230197,0.6320155842522213,0.3561385532752509,True
seed_only,1.112,1.191902790827998,1.0718550277230197,0.6322043430571522,0.35624922263814973,True
seed_only,1.113,1.1929746458557209,1.0718550277230197,0.6323931039142638,0.35636213162781266,True
seed_only,1.114,1.194046500883444,1.0718550277230197,0.6325818667737848,0.3564772780766097,True
seed_only,1.115,1.1951183559111669,1.0718550277230197,0.6327706316714976,0.35659466003467866,True
seed_only,1.116,1.19619021093889,1.0718550277230197,0.632959398676114,0.35671427530885075,True
seed_only,1.117,1.1972620659666129,1.0718550277230197,0.6331481676394968,0.3568361217142964,True
seed_only,1.118,1.198333920994336,1.0718550277230197,0.63333693869706,0.3569601971339953,True
seed_only,1.119,1.199405776022059,1.0718550277230197,0.633525711786942,0.3570864993081338,True
seed_only,1.12,1.2004776310497822,1.0718550277230197,0.6337144869429268,0.3572150258840575,True
seed_only,1.121,1.2015494860775051,1.0718550277230197,0.6339032641087594,0.35734577460255573,True
seed_only,1.122,1.2026213411052282,1.0718550277230197,0.6340920433379305,0.3574787431485094,True
seed_only,1.123,1.2036931961329511,1.0718550277230197,0.6342808245716536,0.3576139290097026,True
seed_only,1.124,1.2047650511606742,1.0718550277230197,0.6344696078572021,0.35775132984138086,True
seed_only,1.125,1.2058369061883971,1.0718550277230197,0.6346583931654437,0.357890943219141,True
seed_only,1.1260000000000001,1.2069087612161202,1.0718550277230197,0.6348471805393441,0.35803276659847993,True
seed_only,1.127,1.2079806162438431,1.0718550277230197,0.6350359699978547,0.358176797385636,True
seed_only,1.1280000000000001,1.2090524712715662,1.0718550277230197,0.635224761426223,0.35832303307496727,True
seed_only,1.129,1.2101243262992891,1.0718550277230197,0.6354135549109796,0.3584714710197591,True
seed_only,1.1300000000000001,1.2111961813270122,1.0718550277230197,0.6356023504065611,0.3586221085356052,True
seed_only,1.131,1.2122680363547353,1.0718550277230197,0.6357911480147194,0.35877494303820073,True
seed_only,1.1320000000000001,1.2133398913824585,1.0718550277230197,0.6359799476261307,0.35892997168430213,True
seed_only,1.133,1.2144117464101813,1.0718550277230197,0.6361687492453805,0.3590871917860672,True
seed_only,1.1340000000000001,1.2154836014379045,1.0718550277230197,0.6363575530012766,0.3592466005503759,True
seed_only,1.135,1.2165554564656273,1.0718550277230197,0.6365463587238329,0.35940819513727257,True
seed_only,1.1360000000000001,1.2176273114933505,1.0718550277230197,0.6367351664644971,0.3595719726883301,True
seed_only,1.137,1.2186991665210734,1.0718550277230197,0.636923976285253,0.35973793023543543,True
seed_only,1.1380000000000001,1.2197710215487965,1.0718550277230197,0.6371127881086069,0.3599060649801426,True
seed_only,1.139,1.2208428765765194,1.0718550277230197,0.6373016020159161,0.36007637386849334,True
seed_only,1.1400000000000001,1.2219147316042425,1.0718550277230197,0.6374904179837992,0.36024885389981026,True
seed_only,1.141,1.2229865866319654,1.0718550277230197,0.6376792359730099,0.36042350212658586,True
seed_only,1.1420000000000001,1.2240584416596887,1.0718550277230197,0.6378680559881333,0.3606003153694662,True
