zeta_2ay2L_over_16pi2,qF_effective_over_tree,inside_direct_flavor_1pct_scale_window
0.31,0.7641654027207528,True
0.315,0.761269700866551,True
0.32,0.7583958619939781,True
0.325,0.7555436394300123,True
0.33,0.7527127901987403,True
0.335,0.7499030749521427,True
0.34,0.7471142579027126,True
0.34500000000000003,0.7443461067575302,True
0.35000000000000003,0.7415983926535457,True
0.355,0.7388708900948168,True
0.36,0.736163376890579,True
0.365,0.7334756340949719,True
0.37,0.730807445948146,True
0.375,0.7281585998182756,True
0.38,0.7255288861453519,True
0.385,0.7229180983855577,True
0.39,0.7203260329576688,True
0.395,0.7177524891896913,True
0.4,0.7151972692672972,True
0.405,0.7126601781830945,True
0.41000000000000003,0.710141023687099,True
0.41500000000000004,0.7076396162378876,True
0.42,0.7051557689555035,True
0.425,0.7026892975744922,True
0.43,0.700240020398566,True
0.435,0.697807758255872,True
0.44,0.6953923344555631,True
0.445,0.692993574744475,True
0.45,0.6906113072658281,True
0.455,0.6882453625176863,True
0.46,0.6858955733132651,True
0.465,0.6835617747408729,True
0.47000000000000003,0.6812438041260489,True
0.47500000000000003,0.6789415009932102,True
0.48,0.676654707028947,True
0.485,0.6743832660455732,True
0.49,0.6721270239455285,True
0.495,0.6698858286868573,True
0.5,0.6676595302485179,True
0.505,0.6654479805974396,True
0.51,0.6632510336551876,True
0.515,0.6610685452664735,True
0.52,0.6589003731668749,True
0.525,0.6567463769524515,True
0.53,0.6546064180492165,True
0.535,0.6524803596834581,True
0.54,0.6503680668525889,True
0.545,0.6482694062967462,True
0.55,0.6461842464702967,True
0.555,0.6441124575149376,True
0.56,0.6420539112323796,True
0.5650000000000001,0.6400084810579298,True
0.5700000000000001,0.637976042034624,True
0.5750000000000001,0.6359564707877886,True
0.58,0.6339496455000023,True
0.585,0.6319554458867588,True
0.59,0.6299737531721822,True
0.595,0.628004450065668,True
0.6,0.6260474207386494,True
0.605,0.6241025508018669,True
0.61,0.6221697272831377,True
0.615,0.6202488386054253,True
0.62,0.6183397745654379,True
0.625,0.6164424263124754,True
0.63,0.6145566863278531,True
0.635,0.6126824484042787,True
0.64,0.6108196076264745,True
0.645,0.6089680603510079,True
0.65,0.6071277041875667,True
0.655,0.6052984379795395,True
0.66,0.6034801617861183,True
0.665,0.6016727768635554,True
0.67,0.5998761856475933,True
0.675,0.598090291735872,True
0.68,0.5963149998704126,True
0.685,0.5945502159211733,True
0.6900000000000001,0.5927958468690101,True
0.6950000000000001,0.5910518007893618,True
0.7000000000000001,0.5893179868364333,True
0.705,0.5875943152273332,True
0.71,0.5858806972264099,True
0.715,0.5841770451300394,True
0.72,0.5824832722520857,True
0.725,0.5807992929084926,True
0.73,0.5791250224034442,True
0.735,0.5774603770150054,True
0.74,0.5758052739807633,True
0.745,0.5741596314848143,True
0.75,0.5725233686437323,True
0.755,0.5708964054934844,True
0.76,0.5692786629764222,True
0.765,0.5676700629285731,True
0.77,0.5660705280668594,True
0.775,0.5644799819767158,True
0.78,0.5628983491002307,True
0.785,0.5613255547237929,True
0.79,0.5597615249666076,True
0.795,0.5582061867689182,True
0.8,0.556659467880849,True
0.805,0.5551212968509267,True
0.81,0.5535916030154494,True
0.8150000000000001,0.5520703164873083,True
0.8200000000000001,0.5505573681456573,True
0.8250000000000001,0.5490526896250609,True
0.8300000000000001,0.547556213305614,True
0.835,0.5460678723025394,True
0.84,0.5445876004563346,True
0.845,0.5431153323229935,True
0.85,0.5416510031641305,True
0.855,0.5401945489378758,True
0.86,0.5387459062892248,True
0.865,0.5373050125408866,True
0.87,0.5358718056845053,True
0.875,0.534446224371361,True
0.88,0.5330282079039667,True
0.885,0.5316176962273425,True
0.89,0.5302146299203406,True
0.895,0.5288189501876682,True
0.9,0.5274305988513881,True
0.905,0.5260495183428427,True
0.91,0.5246756516949035,True
0.915,0.523308942534021,True
0.92,0.521949335072376,True
0.925,0.5205967741004778,True
0.93,0.5192512049797402,True
0.935,0.5179125736348581,True
0.9400000000000001,0.5165808265467814,True
0.9450000000000001,0.5152559107455912,True
0.9500000000000001,0.5139377738032016,True
0.9550000000000001,0.5126263638269584,True
0.96,0.5113216294522176,True
0.965,0.5100235198360951,True
0.97,0.5087319846507172,True
0.975,0.507446974076649,True
0.98,0.5061684387966189,True
0.985,0.5048963299890709,True
