name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.8678288584126647,0.060946315733619,0.06094631392863726,1.8049817404608426e-09,0.13217114158733534,1.0707619121484493
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.8685126155226011,0.0603615321313231,0.06036153034421337,1.7871097310329098e-09,0.13148738447739894,1.0703700811999193
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.863304923917914,0.0648744393735542,0.06487443750916654,1.864387658145894e-09,0.13669507608208598,1.0733616244595443
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.8640022923875635,0.0642622714920465,0.06426226964576233,1.846284167217327e-09,0.13599770761243646,1.0729600538410495
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,0.8610123008053059,0.0669038686927718,0.06690386674110746,1.951664344024273e-09,0.13898769919469411,1.074683922902901
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,0.8617164266663632,0.0662778269868273,0.06627782505391601,1.9329112893595735e-09,0.13828357333363683,1.0742774631801746
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.8700598234122193,0.0590470109299652,0.059047009207154076,1.7228111229283805e-09,0.12994017658778068,1.0694845025602895
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.8707367300899851,0.0584757276808557,0.05847572597528887,1.7055668335985708e-09,0.1292632699100149,1.0690975206884388
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.8626810257327325,0.0654241510001976,0.06542414905949519,1.9407024182127586e-09,0.13731897426726747,1.0737211430031341
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.8708657876158892,0.0583670730524581,0.05836707132887686,1.7235812360683056e-09,0.12913421238411082,1.069023771367732
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.8712987265662366,0.0580031987872481,0.058003197091370945,1.6958771539843376e-09,0.12870127343376336,1.0687764447261316
