name,design_phase,x,y,z,success,nfev,max_pct,fit_h_Q,fit_h_u0,fit_h_u1,fit_a_d0,fit_a_d1,fit_h_d0,fit_h_d1,pred_h_Q,pred_h_u0,pred_h_u1,pred_a_d0,pred_a_d1,pred_h_d0,pred_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,True,6,9.861222949325565e-10,1.9245857821159569,0.3757179571703061,-0.03334034738135902,0.31743518630189377,0.48769346715860057,0.10362696803576016,-0.1484854915744794,1.9517704972106777,0.36841420096365834,-0.029583681975131587,0.32878300093142404,0.4893193349893942,0.11696834689373331,-0.14656071006563842,-4.440892098500626e-12,-9.861222949325565e-10,-1.304512053934559e-11,1.887379141862766e-11,3.3084646133829665e-11,-5.7842619582970656e-12,4.2588155224621005e-11
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,True,6,4.616751425601251e-10,1.9244128601574804,0.376065059606637,-0.033249763076253346,0.31673716594229184,0.4864912354113295,0.10442083464114801,-0.14851119659624626,1.9581597187641766,0.3673105686695712,-0.029410367532530957,0.3283659451181522,0.48649788907100355,0.1160257554816431,-0.14554832508818677,-3.852473895449293e-12,4.616751425601251e-10,-1.2212453270876722e-12,1.0658141036401503e-11,3.3217872896784684e-11,-9.992007221626409e-12,8.515410598874951e-11
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,True,5,4.616529380996326e-10,1.9243193654213424,0.37623555912348977,-0.0332053712350027,0.31639526014897795,0.4859033565471078,0.10481072086916253,-0.14852338688121233,1.9613408765920899,0.366746116801217,-0.029299951792286755,0.328160652154435,0.4850871661118086,0.11555610059306111,-0.1450433947416976,-1.751931932858497e-11,4.616529380996326e-10,5.88418203051333e-12,-1.8673951274195133e-11,3.730349362740526e-12,3.4861002973229915e-12,9.325873406851315e-12
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,True,7,1.0129452832075003e-09,1.933376471992604,0.3740048081884755,-0.034242448139295695,0.32337472147957047,0.49806975415513927,0.09716848258264084,-0.14870873824312925,1.9836235661642803,0.3803936844902008,-0.03001358726532785,0.33607338690238237,0.49697754533931043,0.12000298646925762,-0.1506911297545088,-4.978906176233977e-10,-1.0129452832075003e-09,-1.2634338020234281e-11,-1.0124123761556802e-10,-1.3892220707134584e-10,-1.262323578998803e-11,-1.1002310174035301e-10
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,True,6,1.1048384429557245e-09,1.9448265061329095,0.3808951403485922,-0.03275869210789649,0.3114169583458784,0.4778624246127509,0.11116508123175539,-0.14956314305235605,1.9285405125688775,0.35330167344818464,-0.029744097648247758,0.3060733869023822,0.47521210539744263,0.11323821665102794,-0.14104777860082318,-2.9976021664879227e-13,-1.1048384429557245e-09,1.4233059175694507e-11,-3.0531133177191805e-11,-2.3303581286882036e-11,9.14823772291129e-12,1.283417816466681e-11
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,True,7,3.0062063949287676e-09,1.9057064365432819,0.3713360907329653,-0.033856082233629674,0.322830131808514,0.49655058032123656,0.09717148511452015,-0.14750510380182716,1.9819051151050844,0.3828950992967919,-0.029265365987918207,0.35107338691989054,0.5008066505142683,0.11987514616308317,-0.15121946327293503,-1.2190248810384219e-11,-3.0062063949287676e-09,-1.4133139103478243e-11,6.692424392440444e-11,3.5083047578154947e-11,-7.1387340483397566e-12,4.189981694935341e-11
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,True,7,3.708588991457873e-10,1.9160248263808766,0.37817782269255507,-0.03238396938253433,0.3108931112289133,0.4764551291023356,0.1110943849715427,-0.14832072894418522,1.926745004679872,0.3558049208222295,-0.02900687897381618,0.3210733869198908,0.4788396787210879,0.1131749250131621,-0.1415143812531163,-3.530509218307998e-11,-3.708588991457873e-10,7.2164496600635175e-12,-2.4735768988648488e-11,-1.6220358389773537e-11,3.796962744218035e-12,-4.9971138338378296e-11
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,True,6,5.826450433232822e-10,1.9389777403025314,0.3770494253723774,-0.033550262180063094,0.31781942235440086,0.4886308928183738,0.10352042909812412,-0.14910978302462943,1.9510455903735502,0.367383759898358,-0.030016483067412808,0.3213886299043791,0.4883116757328262,0.1172116252760407,-0.14661855593786413,1.9562129693895258e-11,5.826450433232822e-10,2.9753977059954195e-12,5.3512749786932545e-12,-2.0516921495072893e-11,-1.6320278461989801e-12,-3.431699369116359e-11
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,True,5,2.440270208126094e-10,1.9385292832489327,0.3774813701402248,-0.03341983962790595,0.31685161666357714,0.48696012728095284,0.10460878549041384,-0.14912670506368272,1.9606460361864997,0.3657980480966349,-0.029742750774515714,0.3207630314757036,0.4838779750039275,0.1158519918410542,-0.14502935880296725,-1.3156142841808105e-11,2.440270208126094e-10,-1.4432899320127035e-12,2.469136006766348e-11,-2.7045032879868813e-11,3.4861002973229915e-12,-6.606937219544307e-11
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,True,6,1.3516854302508818e-09,1.910798417657204,0.3743697730263094,-0.03316838002724653,0.31727473396122785,0.4871469843389831,0.10350387689561392,-0.1478904213258474,1.949305587125718,0.36986415947722906,-0.029281832952572834,0.33638862992215235,0.4917377172051564,0.11708443600009186,-0.1470143317975008,1.5343282200319663e-11,-1.3516854302508818e-09,6.084022174945858e-12,4.1100456371623295e-11,-7.749356711883593e-12,5.950795411990839e-12,8.704148513061227e-12
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,True,5,2.2949198097421686e-09,1.9102475940188228,0.37477811736472566,-0.03304098493894023,0.31632906010386996,0.48552224519081055,0.10455919334656676,-0.1479001303194305,1.9588730925930264,0.36832603866342045,-0.028991066915759423,0.33576303149295167,0.48750554832757087,0.11578862535414061,-0.1455003506586379,3.312905505481467e-11,2.2949198097421686e-09,-7.30526750203353e-12,-2.4658053376924727e-11,-3.452793606584237e-12,-3.3084646133829665e-12,-5.767608612927688e-11
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,True,6,1.0177192422133885e-09,1.9196589746565549,0.3724542542226547,-0.034117637020355425,0.3236189186371766,0.49821067549241504,0.09661442214921202,-0.14809225980084953,1.9778983588343018,0.3824798700138615,-0.029789774250392365,0.34388862991333213,0.5010081823655822,0.12065634799330929,-0.15172631954842647,1.199040866595169e-12,1.0177192422133885e-09,-1.2079226507921703e-11,-1.0758061108617767e-11,1.4765966227514582e-11,-1.0880185641326534e-11,-2.8199664825478976e-12
