n_fixed,n_fit,fixed,max_pct,rms_pct,cost,z_h_Q,z_h_u0,z_h_u1,z_a_d0,z_a_d1,z_h_d0,z_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
2,5,h_u0+a_d0,2.120278438427925,1.1235129230725072,0.0008827485562975862,1.8819581444850055,0.36788041717478503,-0.0335276032755938,0.3285733869112018,0.4921183332628032,0.09538329751201967,-0.14407568106253116,1.2781510557523745,-0.637055227971739,0.31170345706188485,-0.9921795535343558,-0.11309880354578583,1.0984116832716495,2.120278438427925
2,5,h_u0+a_d1,0.5281338612756814,0.2825533224875515,5.601516467565892e-05,1.9338011800605277,0.36788041717478503,-0.03323363702886496,0.31627794287455435,0.4879086120301992,0.0979877266355742,-0.14688868052735393,-0.28802715240009436,0.1438144939186481,0.3403856919608428,-0.5281338612756814,0.15648683596802826,-0.18451046528962234,0.043501434576298514
2,5,h_u0+h_d0,6.161686500075659,2.502134425634844,0.004376740630811843,1.8781377376074433,0.36788041717478503,-0.03355074576251882,0.30455601587741393,0.49351610004012514,0.1164961864166585,-0.15442910576185512,1.393551468677967,-0.6963532559161156,0.4063627746800247,1.5007077162518145,-0.4902809162380839,-6.161686500075659,-0.8796777696658764
2,5,h_u0+h_d1,0.4280001342588102,0.275539868962016,5.320887461030717e-05,1.918325408398044,0.36788041717478503,-0.033316920879898064,0.3177602862273468,0.4904541015933719,0.09719309057497387,-0.1460540432730433,0.17756490145377501,-0.08845667093925202,0.17744432081752137,-0.4189094858284781,0.4280001342588102,0.30706548480381457,0.08750250088116474
2,5,h_u1+a_d0,15.605391416577664,7.998560562229084,0.05201104724392694,2.183055200621723,0.3573383774797955,-0.029519572521720966,0.3285733869112018,0.46921511130813565,0.07045782766938638,-0.14251411631929473,-15.605391416577664,-13.470635143005582,1.54377453689456,-2.0283232061164447,0.10349870244243942,2.308714518607813,3.318785243711919
2,5,h_u1+a_d1,15.250700669539263,7.8465653053117785,0.050028999776395,2.168142246131114,0.3230699120615234,-0.029519572521720966,0.30845763478615257,0.4879086120301992,0.05350454260586802,-0.13976417832782378,-15.250700669539263,-13.547623199769976,3.1826146075765838,-0.9177289970336511,1.9267942081578004,-0.1798678524779218,-0.3768205694026694
2,5,h_u1+h_d0,15.438720980519827,7.931689183305547,0.051581338487539735,2.1709827018261523,0.40319297245255686,-0.029519572521720966,0.31204148689994354,0.45948787912716965,0.1164961864166585,-0.15717266738291671,-15.438720980519827,-14.153199846189246,-0.6643564442590288,0.5440226134935333,-0.5033686533474913,-0.850182221607021,-0.03408523608121605
2,5,h_u1+h_d1,15.416209120425517,7.8152022274185144,0.049906453501666496,2.174202610398472,0.35144073256387975,-0.029519572521720966,0.3106009629776314,0.47570991453285566,0.07547607080422652,-0.1460540432730433,-15.416209120425517,-13.626661538357588,1.7220553180188558,-0.6006592552171508,0.7817965630778856,-0.46484061254874476,-0.20674608140500705
2,5,a_d0+a_d1,1.8897091174947755,1.0201057878296522,0.0007268168192963306,1.883180159151225,0.38130390079630233,-0.03353931985961902,0.3285733869112018,0.4879086120301992,0.10540781991811603,-0.14705637468717583,1.2531537110763935,-0.624080804632543,-0.30140267377568586,-0.3897566663114582,-0.43683923967805516,1.148850187574868,1.8897091174947755
2,5,a_d0+h_d0,1.8662347971430293,1.0114944551604639,0.0007166483034007346,1.898212285078762,0.3963460030768249,-0.033471760610576384,0.3285733869112018,0.48035272729764905,0.1164961864166585,-0.15039417616215664,0.8120973166070522,-0.40704377859562824,-0.9699453046122741,-0.18938928908159847,-0.9229136290958895,1.0126186146877325,1.8662347971430293
2,5,a_d0+h_d1,1.9385172067468925,1.0325258327763314,0.0007457231221298694,1.8891845186829168,0.3781176582360104,-0.03349841553113836,0.3285733869112018,0.48764784102278286,0.10244482494641402,-0.1460540432730433,1.0677873746289368,-0.5329819510596079,-0.27576754981138984,-0.7804995282067462,-0.2690486433149397,1.234124848424023,1.9385172067468925
2,5,a_d1+h_d0,1.3472366128155278,0.695550667774883,0.0003357150279244186,1.8943436914860536,0.38969421232570256,-0.033485096705886286,0.3175210539395733,0.4879086120301992,0.1164961864166585,-0.1520565766757344,0.9239962037364213,-0.4583065843457579,-0.5448555733178262,1.3472366128155278,-0.334146592297313,-0.23461972806647635,-0.21001609865093362
2,5,a_d1+h_d1,0.7804694953212232,0.350850524354161,8.664912634284115e-05,1.929855450585795,0.3682080341124935,-0.03325496282493757,0.3178510536899217,0.4879086120301992,0.09705186310971702,-0.1460540432730433,-0.16915912982855552,0.084402518531701,0.10686173606671012,-0.7804694953212232,0.3480258287035465,0.22464641087114323,0.1838314054073642
2,5,h_d0+h_d1,3.9364597421589376,2.117200104325839,0.0031981981007460866,1.8504161825062633,0.3985483244454363,-0.033774464652946465,0.33318470601506234,0.4809752188564989,0.1164961864166585,-0.1460540432730433,2.2682784036291315,-1.1170296818719727,-3.9364597421589376,-1.9165965512706884,1.2874169123547663,1.3408643563961542,1.5363901116892897
3,4,h_Q+h_u0+h_u1,20.221382336170578,8.834143971903723,0.06657165054707616,1.9549696069007172,0.36788041717478503,-0.029519572521720966,0.314946226972592,0.48683361113055557,0.09723876974953129,-0.1472294579284026,-11.70301494406677,-20.221382336170578,0.5031763810699807,-0.24294374120541473,0.33222361886555696,-0.0685956333356108,-0.05049378096365631
3,4,h_Q+h_u0+a_d0,2.9284676249349495,1.4635823150272935,0.0015031293437204238,1.9549696069007172,0.36788041717478503,-0.033125327840522044,0.3285733869112018,0.4831999284743597,0.09132360272009311,-0.143916741719629,-0.9231517152246016,0.4583956765024988,0.6816437082211024,-1.4813396841209747,-0.05404887592328489,1.641440632029223,2.9284676249349495
3,4,h_Q+h_u0+a_d1,0.920575608414298,0.4789436369621952,0.0001610700189505577,1.9549696069007172,0.36788041717478503,-0.03312618959445111,0.3143802039060196,0.4879086120301992,0.09707733329029723,-0.14730961174220347,-0.920575608414298,0.46362255449994283,0.574268048942228,0.037117940714792574,0.44162048374196683,0.039054578463870726,-0.12485304377274353
3,4,h_Q+h_u0+h_d0,6.923269247996933,2.7455345279857566,0.005273661885887914,1.9549696069007172,0.36788041717478503,-0.0331251142401617,0.29862037155736204,0.48493354505792635,0.1164961864166585,-0.15630627032722658,-0.9237902471882498,0.45710012588469073,0.7765449080555653,1.4716836235615371,-0.2681973297508411,-6.923269247996933,-0.9648463062157275
3,4,h_Q+h_u0+h_d1,0.9206192388370282,0.5501133397735474,0.0002127474385640925,1.9549696069007172,0.36788041717478503,-0.03312617499929278,0.3166505004791903,0.48647772988311916,0.09540898246194711,-0.1460540432730433,-0.9206192388370282,0.4635340288195122,0.22940240832431957,-0.6154820710018494,0.6135636045930148,0.47944402680131226,0.1349025981987495
3,4,h_Q+h_u1+a_d0,20.105572253172266,8.943109052150179,0.06772613324240528,1.9549696069007172,0.3514368626549162,-0.029519572521720966,0.3285733869112018,0.4887225077992973,0.07890875068376539,-0.14036175947100463,-11.660637841957866,-20.105572253172266,1.5414677431518475,-2.028373356120028,0.359752503624744,1.67352832709593,3.19833486696921
3,4,h_Q+h_u1+a_d1,20.136214481694957,8.823321432888786,0.06628834180333909,1.9549696069007172,0.35585823977443415,-0.029519572521720966,0.3151594065216566,0.4879086120301992,0.08878614592222375,-0.14454519226312137,-11.671846232631877,-20.136214481694957,0.8639036894176888,-1.4517874287715227,0.32529862382091324,-0.5263222908020948,0.14501363423509162
3,4,h_Q+h_u1+h_d0,20.385060603916315,8.909053007706103,0.06779852476299354,1.9549696069007172,0.38999367019368497,-0.029519572521720966,0.3145423635753746,0.4786702028378397,0.1164961864166585,-0.15304433000197817,-11.762981438283472,-20.385060603916315,-0.4854845446263245,0.508295361769262,-0.4546786752479215,-0.9864112353451748,-0.0796936338106069
3,4,h_Q+h_u1+h_d1,20.129415013210362,8.820079630782388,0.06623055056916537,1.9549696069007172,0.3548816889022875,-0.029519572521720966,0.3113347259503681,0.49219042009016334,0.08989114640576984,-0.1460540432730433,-11.669358847664835,-20.129415013210362,1.4819078776907801,-0.09251541296760868,0.39040375180301456,-0.8483109951275214,-0.3356955023377406
3,4,h_Q+a_d0+a_d1,3.051208149097495,1.588580187365125,0.001765933144162429,1.9549696069007172,0.3647395577325739,-0.03312104032508474,0.3285733869112018,0.4879086120301992,0.08774758969557335,-0.14313939201307999,-0.9267001969029187,0.4607758535702722,1.1535358800051965,-0.6167167489686265,0.43892727132590625,2.319592323254116,3.051208149097495
3,4,h_Q+a_d0+h_d0,2.442716745738638,1.252595359250119,0.0010996984192676487,1.9549696069007172,0.4006349659169771,-0.033173261407777495,0.3285733869112018,0.472689783368454,0.1164961864166585,-0.1510621553246152,-0.8812855553177013,0.43861031808853923,-0.8838528723365657,-0.46308100267323793,-0.9318052723584436,1.477550884564649,2.442716745738638
3,4,h_Q+a_d0+h_d1,2.5861385615108867,1.3388155089916656,0.0012572550875883759,1.9549696069007172,0.3798823087902636,-0.03314252506068567,0.3285733869112018,0.47930147585537236,0.09985293822424883,-0.1460540432730433,-0.9078965345913792,0.4519943825579187,-0.1174988378979891,-1.2321284234563579,-0.14315853737199014,1.8104861986430132,2.5861385615108867
3,4,h_Q+a_d1+h_d0,3.299212700657095,1.3632880533443985,0.0012667444682324172,1.9549696069007172,0.3895077528255271,-0.0331574287371162,0.30935996318474507,0.4879086120301992,0.1164961864166585,-0.1545347595519608,-0.8931849681078075,0.4510300620126584,0.23989831838040487,3.299212700657095,0.45446599462179993,-0.43739297421284684,-0.8175971557869199
3,4,h_Q+a_d1+h_d1,0.9243534818345722,0.5250479635167724,0.00019362943240029494,1.9549696069007172,0.3648170653449253,-0.03312190146215379,0.31534262903414634,0.4879086120301992,0.09407777910138705,-0.1460540432730433,-0.9243534818345722,0.46530212464162,0.5268340030884833,-0.4725319832202368,0.5705521488847953,0.1791533323109329,0.018052931191681054
3,4,h_Q+h_d0+h_d1,4.7723667907967116,2.617684025321978,0.0049429318420730044,1.9549696069007172,0.4064612728249311,-0.033182429362796084,0.33077919035263004,0.46530256452186447,0.1164961864166585,-0.1460540432730433,-0.8728336883886301,0.43620745240506853,-4.7723667907967116,-3.1469865753667503,2.3890127230356883,2.129262156829337,2.023270518514897
3,4,h_u0+h_u1+a_d0,15.612441756118889,7.99740922508429,0.05206929081682776,2.182588657079655,0.36788041717478503,-0.029519572521720966,0.3285733869112018,0.466110034397865,0.07854315390589818,-0.14472505402386351,-15.612441756118889,-13.570485664049237,1.0314565171021028,-1.735352751758601,-0.10782738718186913,2.30236528094927,3.2273204203823624
3,4,h_u0+h_u1+a_d1,14.752768543332673,8.111564480897956,0.05330265893348501,2.1392499254670585,0.36788041717478503,-0.029519572521720966,0.30594187873411705,0.4879086120301992,0.08722010614756262,-0.14989443166687527,-14.752768543332673,-14.6119064153448,1.9469186487869106,4.014506702568976,2.386508593576009,1.5464288306386909,-1.1986399897418676
3,4,h_u0+h_u1+h_d0,15.032408771041695,8.665800196025327,0.059969602682580204,2.1228845893461785,0.36788041717478503,-0.029519572521720966,0.28966043216659915,0.47078544288680774,0.1164961864166585,-0.16097234823009232,-14.440642095474454,-15.032408771041695,1.2398397406096606,1.7411195194119378,-0.09811813476817699,-9.23101688728989,-1.1735390780345467
3,4,h_u0+h_u1+h_d1,15.415942283029505,7.859610819209149,0.050513745838040004,2.1728852690220752,0.36788041717478503,-0.029519572521720966,0.31681791757923505,0.469528330283702,0.08265578145076198,-0.1460540432730433,-15.415942283029505,-13.794601331172206,0.22198736841381184,-1.2488629583909283,1.102946516659653,1.2447999578105717,0.3116379504785938
3,4,h_u0+a_d0+a_d1,2.3480839938565756,1.1711446229575735,0.0009636606494809741,1.9022616562429027,0.36788041717478503,-0.03340675202801463,0.3285733869112018,0.4879086120301992,0.09475791023243421,-0.1440422363443279,0.6607923105364177,-0.333868536332127,0.2949563088231022,-1.5570938136268198,-0.25723456003112766,0.9806808799661226,2.3480839938565756
3,4,h_u0+a_d0+h_d0,6.320334410953487,3.36195501978951,0.007830778001259782,1.7751046324041035,0.36788041717478503,-0.03428523246252468,0.3285733869112018,0.5005405465554377,0.1164961864166585,-0.15110170080981009,4.582309533293771,-2.2331315830210308,0.06568846187642308,0.5575983261188577,-1.6225918633884895,-6.320334410953487,3.2000142610436377
3,4,h_u0+a_d0+h_d1,2.615316518875299,1.2975336125013484,0.0011748183015135168,1.877511031939397,0.36788041717478503,-0.03355462166870259,0.3285733869112018,0.49251384597298953,0.09830533385008193,-0.1460540432730433,1.4126613707089453,-0.7057508805583423,1.1044644106664059,-0.40343061849084094,-1.0205989835313956,0.165400114393921,2.615316518875299
