name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial,R_peak_dimless,hessian_mixing_max_radius_dimless,required_driver,driver_d3_action_peak,relative_error_pct_d3_action_peak,driver_d3_mixing_peak,relative_error_pct_d3_mixing_peak,driver_d4_action_peak,relative_error_pct_d4_action_peak,driver_d4_mixing_peak,relative_error_pct_d4_mixing_peak
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.8700598234122193,0.0590470109299652,0.059047009207154,1.7228111229283802e-09,0.1299401765877806,1.0694845025602897,5.800700029167881,5.8517438226592775,0.06314986126958594,0.06646068818181126,5.242809478379451,0.06588728213118487,4.334801069337146,0.08861425090908169,40.323745971172606,0.0878497095082465,39.113068092449524
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.8707367300899851,0.0584757276808557,0.0584757259752888,1.7055668335985705e-09,0.1292632699100149,1.0690975206884388,5.806241926746948,5.8569940414183925,0.06251625366063779,0.06605583868569644,5.661863623935104,0.06548965279230852,4.756201719654363,0.08807445158092858,40.88248483191348,0.08731953705641136,39.67493562620581
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.8626810257327325,0.0654241510001976,0.0654241490594951,1.940702418212758e-09,0.1373189742672674,1.073721143003134,5.942747614483936,5.998166590274595,0.07024729210816849,0.06853218068514338,-2.441533860670586,0.06790610223165222,-3.3327830956263016,0.09137624091352452,30.077954852439227,0.09054146964220297,28.88962253916494
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.8708657876158892,0.0583670730524581,0.0583670713288768,1.7235812360683054e-09,0.1291342123841108,1.069023771367732,5.83511812992208,5.886453602233426,0.0623957867156853,0.0656675889926043,5.243626932419976,0.06510107400373005,4.335689043190949,0.0875567853234724,40.32483590989331,0.0868014320049734,39.1142520575879
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.8712987265662366,0.0580031987872481,0.0580031970913709,1.6958771539843374e-09,0.1287012734337633,1.0687764447261316,5.79661652568857,5.847076961540064,0.061992450770064496,0.0658797986167623,6.270679410814584,0.06531739857419434,5.3634721047928435,0.08783973148901639,41.69423921441944,0.08708986476559245,40.48462947305713
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.8645330856851805,0.0637979432508916,0.06379794141008,1.8408115171064663e-09,0.1354669143148195,1.072654604713028,5.839201633401391,5.892870536272344,0.06843315562473429,0.0688036266231727,0.5413618516585172,0.06818406952416463,-0.363984531029915,0.09173816883089693,34.05514913554468,0.09091209269888617,32.84802062529344
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.8662519029321667,0.0623039760610427,0.0623039742790466,1.7819960090870166e-09,0.1337480970678333,1.0716666902563874,5.806825284386849,5.85961915079795,0.06676909390544496,0.06831497613802949,2.315266154088791,0.06770636677019642,1.4037525596480194,0.09108663485070599,36.42035487211841,0.09027515569359523,35.20500341286401
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.8616701400555994,0.0663189059378622,0.0663189040180023,1.9198598960601387e-09,0.1383298599444006,1.07430417288654,5.896370682111755,5.951789657902412,0.0712466753278018,0.06956763030332251,-2.356664387150831,0.06892724885773578,-3.2554873043471377,0.09275684040443001,30.19111415046556,0.09190299847698104,28.992683594203818
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.8650622797054388,0.0633364077109081,0.0633364058454158,1.8654922884220326e-09,0.1349377202945612,1.0723502489771402,5.894912288012,5.948872869702904,0.06791881057764883,0.06789744406422066,-0.03145890401561324,0.06728842045210018,-0.9281524811568187,0.09052992541896088,33.29138812797918,0.08971789393613357,32.0957966917909
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.8652820639294676,0.0631451329947602,0.0631451311608761,1.8338841001330761e-09,0.1347179360705324,1.072223895075006,5.861077544897704,5.914746447768657,0.0677057184883367,0.06817500704146318,0.6931298620031834,0.06756331796510376,-0.2103227414350206,0.09090000938861756,34.2575064826709,0.09008442395347169,33.052903011419986
